
C_SAMPLES_CR_IOB2_nb-bert-base_seed_101
,precision,recall,f1-score,support
DRV,0.5,0.3333333333333333,0.4,3.0
GPE_LOC,0.8,0.8571428571428571,0.8275862068965518,28.0
GPE_ORG,0.9375,0.75,0.8333333333333334,20.0
LOC,0.3333333333333333,1.0,0.5,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.7613636363636364,0.8701298701298701,0.8121212121212121,77.0
PER,0.9534883720930233,0.9534883720930233,0.9534883720930233,43.0
PROD,0.6666666666666666,0.8,0.7272727272727272,5.0
micro avg,0.806282722513089,0.8603351955307262,0.8324324324324324,179.0
macro avg,0.6190440010570825,0.6955118040873856,0.631725231464606,179.0
weighted avg,0.8171787709497207,0.8603351955307262,0.8335685889914363,179.0

C_SAMPLES_CR_IOB2_nb-bert-base_seed_1024
,precision,recall,f1-score,support
DRV,1.0,0.3333333333333333,0.5,3.0
GPE_LOC,0.8846153846153846,0.8214285714285714,0.8518518518518519,28.0
GPE_ORG,0.8235294117647058,0.7,0.7567567567567567,20.0
LOC,0.4,1.0,0.5714285714285715,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.7659574468085106,0.935064935064935,0.8421052631578946,77.0
PER,0.8636363636363636,0.8837209302325582,0.8735632183908046,43.0
PROD,0.5714285714285714,0.8,0.6666666666666666,5.0
micro avg,0.7938144329896907,0.8603351955307262,0.8257372654155496,179.0
macro avg,0.6636458972816921,0.6841934712574247,0.6327965410315683,179.0
weighted avg,0.8045365860462945,0.8603351955307262,0.823287715738212,179.0

C_SAMPLES_CR_IOB2_nb-bert-base_seed_37
,precision,recall,f1-score,support
DRV,1.0,0.3333333333333333,0.5,3.0
GPE_LOC,0.8275862068965517,0.8571428571428571,0.8421052631578947,28.0
GPE_ORG,0.8823529411764706,0.75,0.8108108108108107,20.0
LOC,0.4,1.0,0.5714285714285715,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.7777777777777778,0.8181818181818182,0.7974683544303799,77.0
PER,0.9090909090909091,0.9302325581395349,0.9195402298850575,43.0
PROD,0.5555555555555556,1.0,0.7142857142857143,5.0
micro avg,0.8064516129032258,0.8379888268156425,0.821917808219178,179.0
macro avg,0.669045423812158,0.711111320849693,0.6444548679998036,179.0
weighted avg,0.8177488735989308,0.8379888268156425,0.8209762149448028,179.0

C_SAMPLES_CR_IOB2_nb-bert-base_seed_42
,precision,recall,f1-score,support
DRV,1.0,0.3333333333333333,0.5,3.0
GPE_LOC,0.8,0.8571428571428571,0.8275862068965518,28.0
GPE_ORG,0.9333333333333333,0.7,0.8,20.0
LOC,0.3333333333333333,1.0,0.5,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.7926829268292683,0.8441558441558441,0.8176100628930817,77.0
PER,0.9523809523809523,0.9302325581395349,0.9411764705882352,43.0
PROD,0.5,1.0,0.6666666666666666,5.0
micro avg,0.8118279569892473,0.8435754189944135,0.8273972602739725,179.0
macro avg,0.6639663182346109,0.7081080740964462,0.6316299258805669,179.0
weighted avg,0.8336441321316644,0.8435754189944135,0.8292307832653529,179.0

C_SAMPLES_CR_IOB2_nb-bert-base_seed_8
,precision,recall,f1-score,support
DRV,0.5,0.3333333333333333,0.4,3.0
GPE_LOC,0.7741935483870968,0.8571428571428571,0.8135593220338982,28.0
GPE_ORG,0.8823529411764706,0.75,0.8108108108108107,20.0
LOC,0.4,1.0,0.5714285714285715,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.7619047619047619,0.8311688311688312,0.7950310559006212,77.0
PER,0.9285714285714286,0.9069767441860465,0.9176470588235294,43.0
PROD,0.4444444444444444,0.8,0.5714285714285714,5.0
micro avg,0.7842105263157895,0.8324022346368715,0.8075880758807589,179.0
macro avg,0.5864333905605252,0.6848277207288835,0.6099881738032503,179.0
weighted avg,0.7957650195297677,0.8324022346368715,0.8093412964632679,179.0
