
C_SAMPLES_CR_all_labels_nb-bert-base_seed_101
,precision,recall,f1-score,support
B-DRV,0.5,0.3333333333333333,0.4,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.8333333333333334,0.8928571428571429,0.8620689655172413,28.0
I-GPE_LOC,1.0,0.6666666666666666,0.8,6.0
B-GPE_ORG,0.9375,0.75,0.8333333333333334,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.3333333333333333,1.0,0.5,2.0
I-LOC,0.0,0.0,0.0,0.0
B-MISC,0.0,0.0,0.0,1.0
I-MISC,0.0,0.0,0.0,0.0
B-ORG,0.7954545454545454,0.9090909090909091,0.8484848484848484,77.0
I-ORG,0.6111111111111112,1.0,0.7586206896551725,11.0
B-PER,0.9534883720930233,0.9534883720930233,0.9534883720930233,43.0
I-PER,1.0,1.0,1.0,20.0
B-PROD,0.6666666666666666,0.8,0.7272727272727272,5.0
I-PROD,0.0,0.0,0.0,0.0
micro avg,0.8143459915611815,0.8935185185185185,0.8520971302428256,216.0
macro avg,0.423938186777334,0.46141313466894857,0.4268482742420192,216.0
weighted avg,0.845164609053498,0.8935185185185185,0.8616626030419133,216.0

C_SAMPLES_CR_all_labels_nb-bert-base_seed_1024
,precision,recall,f1-score,support
B-DRV,1.0,0.3333333333333333,0.5,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.9230769230769231,0.8571428571428571,0.888888888888889,28.0
I-GPE_LOC,0.8,0.6666666666666666,0.7272727272727272,6.0
B-GPE_ORG,0.8235294117647058,0.7,0.7567567567567567,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.4,1.0,0.5714285714285715,2.0
I-LOC,0.0,0.0,0.0,0.0
B-MISC,0.0,0.0,0.0,1.0
I-MISC,0.0,0.0,0.0,0.0
B-ORG,0.776595744680851,0.948051948051948,0.8538011695906432,77.0
I-ORG,0.8461538461538461,1.0,0.9166666666666666,11.0
B-PER,0.8863636363636364,0.9069767441860465,0.896551724137931,43.0
I-PER,1.0,0.9,0.9473684210526316,20.0
B-PROD,0.5714285714285714,0.8,0.6666666666666666,5.0
I-PROD,0.0,0.0,0.0,0.0
micro avg,0.811965811965812,0.8796296296296297,0.8444444444444444,216.0
macro avg,0.44595267408158523,0.4506761971878251,0.42918897735897127,216.0
weighted avg,0.8379309534738196,0.8796296296296297,0.8504118834011452,216.0

C_SAMPLES_CR_all_labels_nb-bert-base_seed_37
,precision,recall,f1-score,support
B-DRV,1.0,0.3333333333333333,0.5,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.8275862068965517,0.8571428571428571,0.8421052631578947,28.0
I-GPE_LOC,1.0,0.6666666666666666,0.8,6.0
B-GPE_ORG,0.8823529411764706,0.75,0.8108108108108107,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.4,1.0,0.5714285714285715,2.0
I-LOC,0.0,0.0,0.0,0.0
