
C_SAMPLES_CR_IOB2_nbailab-base-ner-scandi_seed_101
,precision,recall,f1-score,support
DRV,1.0,0.3333333333333333,0.5,3.0
GPE_LOC,0.7931034482758621,0.8214285714285714,0.8070175438596492,28.0
GPE_ORG,0.8333333333333334,0.75,0.7894736842105262,20.0
LOC,0.3333333333333333,1.0,0.5,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.7558139534883721,0.8441558441558441,0.7975460122699386,77.0
PER,0.9545454545454546,0.9767441860465116,0.9655172413793104,43.0
PROD,0.5,0.8,0.6153846153846154,5.0
micro avg,0.7916666666666666,0.8491620111731844,0.8194070080862534,179.0
macro avg,0.6462661903720445,0.6907077418705325,0.6218673871380049,179.0
weighted avg,0.8060522840732774,0.8491620111731844,0.8206210743759744,179.0

C_SAMPLES_CR_IOB2_nbailab-base-ner-scandi_seed_1024
,precision,recall,f1-score,support
DRV,1.0,0.3333333333333333,0.5,3.0
GPE_LOC,0.75,0.8571428571428571,0.7999999999999999,28.0
GPE_ORG,0.9375,0.75,0.8333333333333334,20.0
LOC,0.25,1.0,0.4,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.7333333333333333,0.8571428571428571,0.7904191616766466,77.0
PER,0.9512195121951219,0.9069767441860465,0.9285714285714286,43.0
PROD,0.5,0.8,0.6153846153846154,5.0
micro avg,0.7704081632653061,0.8435754189944135,0.8053333333333333,179.0
macro avg,0.6402566056910569,0.6880744739756368,0.608463567370753,179.0
weighted avg,0.7995480764863515,0.8435754189944135,0.8113655677165529,179.0

C_SAMPLES_CR_IOB2_nbailab-base-ner-scandi_seed_37
,precision,recall,f1-score,support
DRV,1.0,0.3333333333333333,0.5,3.0
GPE_LOC,0.7419354838709677,0.8214285714285714,0.7796610169491526,28.0
GPE_ORG,0.9375,0.75,0.8333333333333334,20.0
LOC,0.25,1.0,0.4,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.7415730337078652,0.8571428571428571,0.7951807228915663,77.0
PER,0.9069767441860465,0.9069767441860465,0.9069767441860465,43.0
PROD,0.7142857142857143,1.0,0.8333333333333333,5.0
micro avg,0.7743589743589744,0.8435754189944135,0.8074866310160429,179.0
macro avg,0.6615338720063242,0.708610188261351,0.631060643836679,179.0
weighted avg,0.797188523549281,0.8435754189944135,0.8111327232992189,179.0

C_SAMPLES_CR_IOB2_nbailab-base-ner-scandi_seed_42
,precision,recall,f1-score,support
DRV,1.0,0.3333333333333333,0.5,3.0
GPE_LOC,0.71875,0.8214285714285714,0.7666666666666666,28.0
GPE_ORG,1.0,0.65,0.787878787878788,20.0
LOC,0.3333333333333333,1.0,0.5,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.7325581395348837,0.8181818181818182,0.7730061349693251,77.0
PER,0.9090909090909091,0.9302325581395349,0.9195402298850575,43.0
PROD,0.5,0.8,0.6153846153846154,5.0
micro avg,0.7684210526315789,0.8156424581005587,0.7913279132791328,179.0
macro avg,0.6492165477448908,0.6691470351354072,0.6078095543480566,179.0
weighted avg,0.7921204050377755,0.8156424581005587,0.7925299875914024,179.0

C_SAMPLES_CR_IOB2_nbailab-base-ner-scandi_seed_8
,precision,recall,f1-score,support
DRV,1.0,0.3333333333333333,0.5,3.0
GPE_LOC,0.7741935483870968,0.8571428571428571,0.8135593220338982,28.0
GPE_ORG,0.9375,0.75,0.8333333333333334,20.0
LOC,0.25,1.0,0.4,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.788235294117647,0.8701298701298701,0.8271604938271604,77.0
PER,0.9512195121951219,0.9069767441860465,0.9285714285714286,43.0
PROD,0.8,0.8,0.8000000000000002,5.0
micro avg,0.8128342245989305,0.8491620111731844,0.8306010928961748,179.0
macro avg,0.6876435443374833,0.6896978505990135,0.6378280722207277,179.0
weighted avg,0.8353294750071941,0.8491620111731844,0.8344483638931766,179.0
