
C_SAMPLES_CR_IOB2_norbert_seed_101
,precision,recall,f1-score,support
DRV,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
GPE_LOC,0.7931034482758621,0.8214285714285714,0.8070175438596492,28.0
GPE_ORG,0.7272727272727273,0.4,0.5161290322580645,20.0
LOC,0.2857142857142857,1.0,0.4444444444444445,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.7901234567901234,0.8311688311688312,0.810126582278481,77.0
PER,0.9743589743589743,0.8837209302325582,0.9268292682926831,43.0
PROD,0.4444444444444444,0.8,0.5714285714285714,5.0
micro avg,0.7877094972067039,0.7877094972067039,0.7877094972067039,179.0
macro avg,0.5852105004403855,0.6753731249370785,0.59283026365357,179.0
weighted avg,0.8060499662631557,0.7877094972067039,0.7871425083312382,179.0

C_SAMPLES_CR_IOB2_norbert_seed_1024
,precision,recall,f1-score,support
DRV,0.42857142857142855,1.0,0.6,3.0
GPE_LOC,0.7741935483870968,0.8571428571428571,0.8135593220338982,28.0
GPE_ORG,0.9411764705882353,0.8,0.8648648648648648,20.0
LOC,0.25,0.5,0.3333333333333333,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.6881720430107527,0.8311688311688312,0.7529411764705883,77.0
PER,0.9285714285714286,0.9069767441860465,0.9176470588235294,43.0
PROD,0.5,0.6,0.5454545454545454,5.0
micro avg,0.75,0.8379888268156425,0.79155672823219,179.0
macro avg,0.5638356148911177,0.6869110540622169,0.6034750376225949,179.0
weighted avg,0.7692987809648999,0.8379888268156425,0.7972412951163849,179.0

C_SAMPLES_CR_IOB2_norbert_seed_37
,precision,recall,f1-score,support
DRV,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
GPE_LOC,0.8214285714285714,0.8214285714285714,0.8214285714285714,28.0
GPE_ORG,0.6428571428571429,0.45,0.5294117647058824,20.0
LOC,0.2857142857142857,1.0,0.4444444444444445,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.7325581395348837,0.8181818181818182,0.7730061349693251,77.0
PER,0.925,0.8604651162790697,0.891566265060241,43.0
PROD,0.5,1.0,0.6666666666666666,5.0
micro avg,0.75,0.7877094972067039,0.7683923705722072,179.0
macro avg,0.5717781007751939,0.7020927715695158,0.5991488142427247,179.0
weighted avg,0.7659807160489245,0.7877094972067039,0.7691021190311076,179.0

C_SAMPLES_CR_IOB2_norbert_seed_42
,precision,recall,f1-score,support
DRV,0.5,0.6666666666666666,0.5714285714285715,3.0
GPE_LOC,0.8148148148148148,0.7857142857142857,0.7999999999999999,28.0
GPE_ORG,0.8888888888888888,0.8,0.8421052631578948,20.0
LOC,0.4,1.0,0.5714285714285715,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.8461538461538461,0.8571428571428571,0.8516129032258064,77.0
PER,0.8809523809523809,0.8604651162790697,0.8705882352941177,43.0
PROD,0.4,0.8,0.5333333333333333,5.0
micro avg,0.8097826086956522,0.8324022346368715,0.8209366391184574,179.0
macro avg,0.5913512413512414,0.7212486157253599,0.6300621097335368,179.0
weighted avg,0.8264100062982743,0.8324022346368715,0.825560907558668,179.0

C_SAMPLES_CR_IOB2_norbert_seed_8
,precision,recall,f1-score,support
DRV,0.5,0.3333333333333333,0.4,3.0
GPE_LOC,0.7666666666666667,0.8214285714285714,0.793103448275862,28.0
GPE_ORG,1.0,0.55,0.7096774193548387,20.0
LOC,0.3333333333333333,1.0,0.5,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.7764705882352941,0.8571428571428571,0.8148148148148148,77.0
PER,0.8,0.8372093023255814,0.8181818181818183,43.0
PROD,0.5,0.8,0.6153846153846154,5.0
micro avg,0.7647058823529411,0.7988826815642458,0.7814207650273224,179.0
macro avg,0.5845588235294117,0.6498892580287929,0.5813952645014937,179.0
weighted avg,0.7839193778069887,0.7988826815642458,0.7798878599905191,179.0
