
C_SAMPLES_CR_all_labels_norbert_seed_101
,precision,recall,f1-score,support
B-DRV,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.8275862068965517,0.8571428571428571,0.8421052631578947,28.0
I-GPE_LOC,0.8,0.6666666666666666,0.7272727272727272,6.0
B-GPE_ORG,0.7272727272727273,0.4,0.5161290322580645,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.2857142857142857,1.0,0.4444444444444445,2.0
I-LOC,0.0,0.0,0.0,0.0
B-MISC,0.0,0.0,0.0,1.0
I-MISC,0.0,0.0,0.0,0.0
B-ORG,0.8148148148148148,0.8571428571428571,0.8354430379746836,77.0
I-ORG,0.5294117647058824,0.8181818181818182,0.6428571428571428,11.0
B-PER,0.9743589743589743,0.8837209302325582,0.9268292682926831,43.0
I-PER,1.0,1.0,1.0,20.0
B-PROD,0.4444444444444444,0.8,0.5714285714285714,5.0
I-PROD,0.0,0.0,0.0,0.0
micro avg,0.7831858407079646,0.8194444444444444,0.8009049773755655,216.0
macro avg,0.3927927713819082,0.44164009977963464,0.3985097863529377,216.0
weighted avg,0.8230241906581026,0.8194444444444444,0.8114138757190511,216.0

C_SAMPLES_CR_all_labels_norbert_seed_1024
,precision,recall,f1-score,support
B-DRV,0.42857142857142855,1.0,0.6,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.8387096774193549,0.9285714285714286,0.8813559322033899,28.0
I-GPE_LOC,0.8,0.6666666666666666,0.7272727272727272,6.0
B-GPE_ORG,0.9411764705882353,0.8,0.8648648648648648,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.25,0.5,0.3333333333333333,2.0
I-LOC,0.0,0.0,0.0,0.0
B-MISC,0.0,0.0,0.0,1.0
I-MISC,0.0,0.0,0.0,0.0
B-ORG,0.7311827956989247,0.8831168831168831,0.7999999999999999,77.0
I-ORG,0.6428571428571429,0.8181818181818182,0.7200000000000001,11.0
B-PER,0.9285714285714286,0.9069767441860465,0.9176470588235294,43.0
I-PER,1.0,1.0,1.0,20.0
B-PROD,0.5,0.6,0.5454545454545454,5.0
I-PROD,0.0,0.0,0.0,0.0
micro avg,0.7842323651452282,0.875,0.8271334792122539,216.0
macro avg,0.39228160798369527,0.4501951967068247,0.41055158121957724,216.0
weighted avg,0.8087693978427691,0.875,0.8357021420647209,216.0

C_SAMPLES_CR_all_labels_norbert_seed_37
,precision,recall,f1-score,support
B-DRV,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.8571428571428571,0.8571428571428571,0.8571428571428571,28.0
I-GPE_LOC,0.8,0.6666666666666666,0.7272727272727272,6.0
B-GPE_ORG,0.7857142857142857,0.55,0.6470588235294117,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.2857142857142857,1.0,0.4444444444444445,2.0
I-LOC,0.0,0.0,0.0,0.0
B-MISC,0.0,0.0,0.0,1.0
I-MISC,0.0,0.0,0.0,0.0
B-ORG,0.7558139534883721,0.8441558441558441,0.7975460122699386,77.0
I-ORG,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
B-PER,0.95,0.8837209302325582,0.9156626506024096,43.0
I-PER,1.0,0.95,0.9743589743589743,20.0
B-PROD,0.5,1.0,0.6666666666666666,5.0
I-PROD,0.0,0.0,0.0,0.0
micro avg,0.7816593886462883,0.8287037037037037,0.8044943820224719,216.0
macro avg,0.4121796592726825,0.45758526572480057,0.4175000911742175,216.0
weighted avg,0.8223767995570321,0.8287037037037037,0.8185127382607185,216.0

C_SAMPLES_CR_all_labels_norbert_seed_42
,precision,recall,f1-score,support
B-DRV,0.5,0.6666666666666666,0.5714285714285715,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.8888888888888888,0.8571428571428571,0.8727272727272727,28.0
I-GPE_LOC,0.8,0.6666666666666666,0.7272727272727272,6.0
B-GPE_ORG,0.8888888888888888,0.8,0.8421052631578948,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.4,1.0,0.5714285714285715,2.0
I-LOC,0.0,0.0,0.0,0.0
B-MISC,0.0,0.0,0.0,1.0
I-MISC,0.0,0.0,0.0,0.0
B-ORG,0.8589743589743589,0.8701298701298701,0.8645161290322582,77.0
I-ORG,0.9,0.8181818181818182,0.8571428571428572,11.0
