
C_SAMPLES_CR_IOB2_norbert2_seed_101
,precision,recall,f1-score,support
DRV,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
GPE_LOC,0.6875,0.7857142857142857,0.7333333333333334,28.0
GPE_ORG,0.8888888888888888,0.4,0.5517241379310346,20.0
LOC,0.3333333333333333,1.0,0.5,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.7701149425287356,0.8701298701298701,0.8170731707317073,77.0
PER,0.8780487804878049,0.8372093023255814,0.8571428571428572,43.0
PROD,0.5,0.8,0.6153846153846154,5.0
micro avg,0.7526881720430108,0.7821229050279329,0.7671232876712328,179.0
macro avg,0.548902409821512,0.6282983489378838,0.5509989309821102,179.0
weighted avg,0.7723429753080038,0.7821229050279329,0.7621034423036952,179.0

C_SAMPLES_CR_IOB2_norbert2_seed_1024
,precision,recall,f1-score,support
DRV,0.0,0.0,0.0,3.0
GPE_LOC,0.7352941176470589,0.8928571428571429,0.806451612903226,28.0
GPE_ORG,0.7777777777777778,0.35,0.48275862068965514,20.0
LOC,0.4,1.0,0.5714285714285715,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.7391304347826086,0.8831168831168831,0.8047337278106508,77.0
PER,0.926829268292683,0.8837209302325582,0.9047619047619047,43.0
PROD,0.6666666666666666,0.8,0.7272727272727272,5.0
micro avg,0.7619047619047619,0.8044692737430168,0.782608695652174,179.0
macro avg,0.5307122831458494,0.6012118695258231,0.5371758956083419,179.0
weighted avg,0.7656079675857698,0.8044692737430168,0.7703033368742246,179.0

C_SAMPLES_CR_IOB2_norbert2_seed_37
,precision,recall,f1-score,support
DRV,0.5,0.3333333333333333,0.4,3.0
GPE_LOC,0.71875,0.8214285714285714,0.7666666666666666,28.0
GPE_ORG,0.8333333333333334,0.5,0.625,20.0
LOC,0.2857142857142857,1.0,0.4444444444444445,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.7804878048780488,0.8311688311688312,0.8050314465408805,77.0
PER,0.875,0.813953488372093,0.8433734939759036,43.0
PROD,0.5714285714285714,0.8,0.6666666666666666,5.0
micro avg,0.7637362637362637,0.776536312849162,0.7700831024930748,179.0
macro avg,0.5705892494192799,0.6374855280378535,0.5688978397868202,179.0
weighted avg,0.7790100506751276,0.776536312849162,0.7689462039860365,179.0

C_SAMPLES_CR_IOB2_norbert2_seed_42
,precision,recall,f1-score,support
DRV,0.0,0.0,0.0,3.0
GPE_LOC,0.8571428571428571,0.8571428571428571,0.8571428571428571,28.0
GPE_ORG,0.9230769230769231,0.6,0.7272727272727274,20.0
LOC,0.3333333333333333,1.0,0.5,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.6979166666666666,0.8701298701298701,0.7745664739884393,77.0
PER,0.9047619047619048,0.8837209302325582,0.8941176470588236,43.0
PROD,0.5714285714285714,0.8,0.6666666666666666,5.0
micro avg,0.7538461538461538,0.8212290502793296,0.7860962566844919,179.0
macro avg,0.535957532051282,0.6263742071881607,0.5524707965161892,179.0
weighted avg,0.7744675599075039,0.8212290502793296,0.7875277385442856,179.0

C_SAMPLES_CR_IOB2_norbert2_seed_8
,precision,recall,f1-score,support
DRV,0.0,0.0,0.0,3.0
GPE_LOC,0.7272727272727273,0.8571428571428571,0.7868852459016394,28.0
GPE_ORG,0.7272727272727273,0.4,0.5161290322580645,20.0
LOC,0.2857142857142857,1.0,0.4444444444444445,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.7790697674418605,0.8701298701298701,0.8220858895705522,77.0
PER,0.9210526315789473,0.813953488372093,0.8641975308641974,43.0
PROD,0.6666666666666666,0.8,0.7272727272727272,5.0
micro avg,0.7650273224043715,0.7821229050279329,0.7734806629834254,179.0
macro avg,0.5133811007434018,0.5926532769556025,0.5201268587889532,179.0
weighted avg,0.7732261903059822,0.7821229050279329,0.7672722199986185,179.0
