
NorNE_ne_CF_MATRIX_nb-bert-base_seed_101
,B-GPE_LOC,I-DRV,I-LOC,B-PER,I-PER,B-PROD,I-GPE_ORG,B-GPE_ORG,B-EVT,B-DRV,I-PROD,B-ORG,B-MISC,I-MISC,I-GPE_LOC,B-LOC,I-ORG,I-EVT
B-GPE_LOC,401,1,0,0,0,1,0,9,0,0,1,2,0,0,1,10,0,0
I-DRV,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-LOC,0,0,58,1,15,0,0,0,0,0,0,0,0,0,0,2,4,0
B-PER,2,0,0,940,0,1,0,0,0,1,0,4,0,0,0,1,0,0
I-PER,0,0,0,6,503,0,0,0,0,0,0,0,0,0,0,0,0,0
B-PROD,1,0,0,9,0,73,0,0,0,3,0,16,0,0,0,4,0,0
I-GPE_ORG,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,20,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
B-EVT,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,1,0,0
B-DRV,0,0,0,0,0,1,0,0,1,64,0,1,0,0,0,3,0,0
I-PROD,2,1,0,2,3,0,0,0,0,0,52,0,0,0,0,6,5,0
B-ORG,1,0,0,25,0,11,0,1,0,3,0,435,0,0,0,11,0,0
B-MISC,0,0,0,1,0,1,0,0,0,0,0,0,10,0,0,0,0,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
I-GPE_LOC,0,0,2,0,0,0,1,0,0,0,0,0,0,0,74,0,0,0
B-LOC,15,0,0,11,0,0,0,0,0,0,0,4,0,0,0,143,0,0
I-ORG,6,0,2,2,4,0,0,0,0,0,7,5,0,0,0,0,193,0
I-EVT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2

NorNE_ne_CF_MATRIX_nb-bert-base_seed_1024
,B-GPE_LOC,I-DRV,I-LOC,B-PER,I-PER,B-PROD,I-GPE_ORG,B-GPE_ORG,B-EVT,B-DRV,I-PROD,B-ORG,B-MISC,I-MISC,I-GPE_LOC,B-LOC,I-ORG,I-EVT
B-GPE_LOC,399,0,1,0,0,2,0,10,0,0,1,2,0,0,0,10,1,0
I-DRV,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-LOC,0,0,56,1,15,0,0,0,0,0,0,0,0,0,1,2,1,0
