
C_SAMPLES_CR_IOB2_mbert_seed_101
,precision,recall,f1-score,support
DRV,1.0,0.6666666666666666,0.8,3.0
GPE_LOC,0.6875,0.7857142857142857,0.7333333333333334,28.0
GPE_ORG,0.9375,0.75,0.8333333333333334,20.0
LOC,0.2857142857142857,1.0,0.4444444444444445,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.8095238095238095,0.8831168831168831,0.84472049689441,77.0
PER,0.9117647058823529,0.7209302325581395,0.8051948051948051,43.0
PROD,0.4,0.8,0.5333333333333333,5.0
micro avg,0.7783783783783784,0.8044692737430168,0.7912087912087912,179.0
macro avg,0.6290003501400561,0.7008035085069969,0.6242949683167074,179.0
weighted avg,0.8106739902664977,0.8044692737430168,0.7978905611162108,179.0

C_SAMPLES_CR_IOB2_mbert_seed_1024
,precision,recall,f1-score,support
DRV,0.0,0.0,0.0,3.0
GPE_LOC,0.7666666666666667,0.8214285714285714,0.793103448275862,28.0
GPE_ORG,0.8461538461538461,0.55,0.6666666666666667,20.0
LOC,0.3333333333333333,1.0,0.5,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.8072289156626506,0.8701298701298701,0.8375,77.0
PER,0.8947368421052632,0.7906976744186046,0.8395061728395061,43.0
PROD,0.6666666666666666,0.8,0.7272727272727272,5.0
micro avg,0.8011363636363636,0.7877094972067039,0.7943661971830986,179.0
macro avg,0.5393482838235534,0.6040320144971307,0.5455061268818453,179.0
weighted avg,0.7989947167949386,0.7877094972067039,0.7863846868911725,179.0

C_SAMPLES_CR_IOB2_mbert_seed_37
,precision,recall,f1-score,support
DRV,0.0,0.0,0.0,3.0
GPE_LOC,0.8148148148148148,0.7857142857142857,0.7999999999999999,28.0
GPE_ORG,0.8333333333333334,0.75,0.7894736842105262,20.0
LOC,0.3333333333333333,1.0,0.5,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.8024691358024691,0.8441558441558441,0.8227848101265822,77.0
PER,0.9473684210526315,0.8372093023255814,0.8888888888888888,43.0
PROD,0.8,0.8,0.8000000000000002,5.0
micro avg,0.8228571428571428,0.8044692737430168,0.8135593220338982,179.0
macro avg,0.5664148797920727,0.6271349290244639,0.5751434229032497,179.0
weighted avg,0.819414043073751,0.8044692737430168,0.8087493088613383,179.0

C_SAMPLES_CR_IOB2_mbert_seed_42
,precision,recall,f1-score,support
DRV,1.0,0.3333333333333333,0.5,3.0
EVT,0.0,0.0,0.0,0.0
GPE_LOC,0.8214285714285714,0.8214285714285714,0.8214285714285714,28.0
GPE_ORG,0.8947368421052632,0.85,0.8717948717948718,20.0
LOC,0.3333333333333333,1.0,0.5,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.7586206896551724,0.8571428571428571,0.8048780487804879,77.0
PER,0.9705882352941176,0.7674418604651163,0.8571428571428571,43.0
PROD,0.5,0.8,0.6153846153846154,5.0
micro avg,0.7934782608695652,0.8156424581005587,0.8044077134986226,179.0
macro avg,0.5865230746462731,0.6032607358188753,0.552292107170156,179.0
weighted avg,0.8224049761445099,0.8156424581005587,0.8091931459556475,179.0

C_SAMPLES_CR_IOB2_mbert_seed_8
,precision,recall,f1-score,support
DRV,1.0,0.6666666666666666,0.8,3.0
GPE_LOC,0.8518518518518519,0.8214285714285714,0.8363636363636364,28.0
GPE_ORG,0.8125,0.65,0.7222222222222223,20.0
LOC,0.4,1.0,0.5714285714285715,2.0
MISC,0.0,0.0,0.0,1.0
ORG,0.7816091954022989,0.8831168831168831,0.8292682926829268,77.0
PER,0.9210526315789473,0.813953488372093,0.8641975308641974,43.0
PROD,0.4444444444444444,0.8,0.5714285714285714,5.0
micro avg,0.7989130434782609,0.8212290502793296,0.8099173553719008,179.0
macro avg,0.6514322654096928,0.7043957011980267,0.6493636031237657,179.0
weighted avg,0.8151577948488594,0.8212290502793296,0.8116021152311291,179.0
