
C_SAMPLES_CR_all_labels_mbert_seed_101
,precision,recall,f1-score,support
B-DRV,1.0,0.6666666666666666,0.8,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.75,0.8571428571428571,0.7999999999999999,28.0
I-GPE_LOC,0.8,0.6666666666666666,0.7272727272727272,6.0
B-GPE_ORG,0.9375,0.75,0.8333333333333334,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.2857142857142857,1.0,0.4444444444444445,2.0
I-LOC,0.0,0.0,0.0,0.0
B-MISC,0.0,0.0,0.0,1.0
I-MISC,0.0,0.0,0.0,0.0
B-ORG,0.8214285714285714,0.8961038961038961,0.8571428571428571,77.0
I-ORG,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
B-PER,0.9411764705882353,0.7441860465116279,0.8311688311688312,43.0
I-PER,1.0,0.9,0.9473684210526316,20.0
B-PROD,0.4,0.8,0.5333333333333333,5.0
I-PROD,0.0,0.0,0.0,0.0
micro avg,0.8026905829596412,0.8287037037037037,0.815489749430524,216.0
macro avg,0.4307778414396062,0.44994155284852966,0.42179143144055425,216.0
weighted avg,0.846490818549642,0.8287037037037037,0.8290439201257915,216.0

C_SAMPLES_CR_all_labels_mbert_seed_1024
,precision,recall,f1-score,support
B-DRV,0.0,0.0,0.0,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.8,0.8571428571428571,0.8275862068965518,28.0
I-GPE_LOC,0.8,0.6666666666666666,0.7272727272727272,6.0
B-GPE_ORG,0.8461538461538461,0.55,0.6666666666666667,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.3333333333333333,1.0,0.5,2.0
I-LOC,0.0,0.0,0.0,0.0
B-MISC,0.0,0.0,0.0,1.0
I-MISC,0.0,0.0,0.0,0.0
B-ORG,0.8072289156626506,0.8701298701298701,0.8375,77.0
I-ORG,0.8888888888888888,0.7272727272727273,0.7999999999999999,11.0
B-PER,0.9210526315789473,0.813953488372093,0.8641975308641974,43.0
I-PER,0.9047619047619048,0.95,0.9268292682926829,20.0
B-PROD,0.6666666666666666,0.8,0.7272727272727272,5.0
I-PROD,0.0,0.0,0.0,0.0
micro avg,0.8169014084507042,0.8055555555555556,0.8111888111888113,216.0
macro avg,0.3871158992803465,0.4019536449769008,0.38207361818141966,216.0
weighted avg,0.8229536225000539,0.8055555555555556,0.8078255848122727,216.0

C_SAMPLES_CR_all_labels_mbert_seed_37
,precision,recall,f1-score,support
B-DRV,0.0,0.0,0.0,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.8518518518518519,0.8214285714285714,0.8363636363636364,28.0
I-GPE_LOC,0.8,0.6666666666666666,0.7272727272727272,6.0
B-GPE_ORG,0.8333333333333334,0.75,0.7894736842105262,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.3333333333333333,1.0,0.5,2.0
I-LOC,0.0,0.0,0.0,0.0
B-MISC,0.0,0.0,0.0,1.0
I-MISC,0.0,0.0,0.0,0.0
B-ORG,0.8271604938271605,0.8701298701298701,0.8481012658227849,77.0
I-ORG,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
B-PER,0.9473684210526315,0.8372093023255814,0.8888888888888888,43.0
I-PER,0.9473684210526315,0.9,0.9230769230769231,20.0
B-PROD,0.8,0.8,0.8000000000000002,5.0
I-PROD,0.0,0.0,0.0,0.0
micro avg,0.8349056603773585,0.8194444444444444,0.8271028037383178,216.0
macro avg,0.3926493656513149,0.40959484099018983,0.3911361029393452,216.0
weighted avg,0.8396331191490385,0.8194444444444444,0.8266613426765917,216.0

C_SAMPLES_CR_all_labels_mbert_seed_42
,precision,recall,f1-score,support
B-DRV,1.0,0.3333333333333333,0.5,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.8571428571428571,0.8571428571428571,0.8571428571428571,28.0
I-GPE_LOC,0.5714285714285714,0.6666666666666666,0.6153846153846153,6.0
B-GPE_ORG,0.8947368421052632,0.85,0.8717948717948718,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.3333333333333333,1.0,0.5,2.0
I-LOC,0.0,0.0,0.0,0.0
B-MISC,0.0,0.0,0.0,1.0
I-MISC,0.0,0.0,0.0,0.0
B-ORG,0.7931034482758621,0.8961038961038961,0.8414634146341463,77.0
I-ORG,0.75,0.8181818181818182,0.7826086956521738,11.0
B-PER,0.9705882352941176,0.7674418604651163,0.8571428571428571,43.0
I-PER,1.0,0.9,0.9473684210526316,20.0
B-PROD,0.5,0.8,0.6153846153846154,5.0
