
C_SAMPLES_CR_all_labels_nbailab-base-ner-scandi_seed_101
,precision,recall,f1-score,support
B-DRV,1.0,0.3333333333333333,0.5,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.8275862068965517,0.8571428571428571,0.8421052631578947,28.0
I-GPE_LOC,0.8,0.6666666666666666,0.7272727272727272,6.0
B-GPE_ORG,0.8333333333333334,0.75,0.7894736842105262,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.3333333333333333,1.0,0.5,2.0
I-LOC,0.0,0.0,0.0,0.0
B-MISC,0.0,0.0,0.0,1.0
I-MISC,0.0,0.0,0.0,0.0
B-ORG,0.7790697674418605,0.8701298701298701,0.8220858895705522,77.0
I-ORG,0.7857142857142857,1.0,0.88,11.0
B-PER,0.9545454545454546,0.9767441860465116,0.9655172413793104,43.0
I-PER,0.9523809523809523,1.0,0.975609756097561,20.0
B-PROD,0.5,0.8,0.6153846153846154,5.0
I-PROD,0.0,0.0,0.0,0.0
micro avg,0.811965811965812,0.8796296296296297,0.8444444444444444,216.0
macro avg,0.4314424074247651,0.45855649518440217,0.42319162094851037,216.0
weighted avg,0.8311576386823646,0.8796296296296297,0.8486992152378939,216.0

C_SAMPLES_CR_all_labels_nbailab-base-ner-scandi_seed_1024
,precision,recall,f1-score,support
B-DRV,1.0,0.3333333333333333,0.5,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.78125,0.8928571428571429,0.8333333333333334,28.0
I-GPE_LOC,0.8,0.6666666666666666,0.7272727272727272,6.0
B-GPE_ORG,0.9375,0.75,0.8333333333333334,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.25,1.0,0.4,2.0
I-LOC,0.0,0.0,0.0,0.0
B-MISC,0.0,0.0,0.0,1.0
I-MISC,0.0,0.0,0.0,0.0
B-ORG,0.7666666666666667,0.8961038961038961,0.8263473053892216,77.0
I-ORG,0.6470588235294118,1.0,0.7857142857142858,11.0
B-PER,0.9512195121951219,0.9069767441860465,0.9285714285714286,43.0
I-PER,1.0,1.0,1.0,20.0
B-PROD,0.5,0.8,0.6153846153846154,5.0
I-PROD,0.0,0.0,0.0,0.0
micro avg,0.7851239669421488,0.8796296296296297,0.829694323144105,216.0
macro avg,0.4240941667995111,0.4581076546192825,0.4138865016110525,216.0
weighted avg,0.8262889787803108,0.8796296296296297,0.8423181968840653,216.0

C_SAMPLES_CR_all_labels_nbailab-base-ner-scandi_seed_37
,precision,recall,f1-score,support
B-DRV,1.0,0.3333333333333333,0.5,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.8064516129032258,0.8928571428571429,0.8474576271186439,28.0
I-GPE_LOC,0.8,0.6666666666666666,0.7272727272727272,6.0
B-GPE_ORG,0.9375,0.75,0.8333333333333334,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.25,1.0,0.4,2.0
I-LOC,0.0,0.0,0.0,0.0
B-MISC,0.0,0.0,0.0,1.0
I-MISC,0.0,0.0,0.0,0.0
B-ORG,0.7640449438202247,0.8831168831168831,0.8192771084337349,77.0
I-ORG,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
B-PER,0.9069767441860465,0.9069767441860465,0.9069767441860465,43.0
I-PER,1.0,1.0,1.0,20.0
B-PROD,0.7142857142857143,1.0,0.8333333333333333,5.0
I-PROD,0.0,0.0,0.0,0.0
micro avg,0.8042553191489362,0.875,0.8381374722838139,216.0
macro avg,0.44514401936269693,0.4634467599583878,0.42984533839272904,216.0
weighted avg,0.8342601901552911,0.875,0.8466450833194152,216.0

C_SAMPLES_CR_all_labels_nbailab-base-ner-scandi_seed_42
,precision,recall,f1-score,support
B-DRV,1.0,0.3333333333333333,0.5,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.78125,0.8928571428571429,0.8333333333333334,28.0
I-GPE_LOC,0.8,0.6666666666666666,0.7272727272727272,6.0
B-GPE_ORG,1.0,0.65,0.787878787878788,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.3333333333333333,1.0,0.5,2.0
I-LOC,0.0,0.0,0.0,0.0
B-MISC,0.0,0.0,0.0,1.0
I-MISC,0.0,0.0,0.0,0.0
