
C_SAMPLES_CR_all_labels_norbert2_seed_101
,precision,recall,f1-score,support
B-DRV,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.75,0.8571428571428571,0.7999999999999999,28.0
I-GPE_LOC,0.8,0.6666666666666666,0.7272727272727272,6.0
B-GPE_ORG,0.8888888888888888,0.4,0.5517241379310346,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.3333333333333333,1.0,0.5,2.0
I-LOC,0.0,0.0,0.0,0.0
B-MISC,0.0,0.0,0.0,1.0
I-MISC,0.0,0.0,0.0,0.0
B-ORG,0.7931034482758621,0.8961038961038961,0.8414634146341463,77.0
I-ORG,0.75,0.8181818181818182,0.7826086956521738,11.0
B-PER,0.8780487804878049,0.8372093023255814,0.8571428571428572,43.0
I-PER,1.0,1.0,1.0,20.0
B-PROD,0.5,0.8,0.6153846153846154,5.0
I-PROD,0.0,0.0,0.0,0.0
micro avg,0.7866666666666666,0.8194444444444444,0.802721088435374,216.0
macro avg,0.39037265468440124,0.4227021040974529,0.3893849878528271,216.0
weighted avg,0.8093495718641733,0.8194444444444444,0.801544276089473,216.0

C_SAMPLES_CR_all_labels_norbert2_seed_1024
,precision,recall,f1-score,support
B-DRV,0.0,0.0,0.0,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.7352941176470589,0.8928571428571429,0.806451612903226,28.0
I-GPE_LOC,1.0,0.6666666666666666,0.8,6.0
B-GPE_ORG,0.7777777777777778,0.35,0.48275862068965514,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.4,1.0,0.5714285714285715,2.0
I-LOC,0.0,0.0,0.0,0.0
B-MISC,0.0,0.0,0.0,1.0
I-MISC,0.0,0.0,0.0,0.0
B-ORG,0.7717391304347826,0.922077922077922,0.8402366863905326,77.0
I-ORG,0.6111111111111112,1.0,0.7586206896551725,11.0
B-PER,0.926829268292683,0.8837209302325582,0.9047619047619047,43.0
I-PER,1.0,1.0,1.0,20.0
B-PROD,0.6666666666666666,0.8,0.7272727272727272,5.0
I-PROD,0.0,0.0,0.0,0.0
micro avg,0.7811158798283262,0.8425925925925926,0.8106904231625836,216.0
macro avg,0.38274544844056,0.4175179256574605,0.38286282295009944,216.0
weighted avg,0.7975783240059834,0.8425925925925926,0.8044576513765926,216.0

C_SAMPLES_CR_all_labels_norbert2_seed_37
,precision,recall,f1-score,support
B-DRV,0.5,0.3333333333333333,0.4,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.75,0.8571428571428571,0.7999999999999999,28.0
I-GPE_LOC,0.8,0.6666666666666666,0.7272727272727272,6.0
B-GPE_ORG,0.8333333333333334,0.5,0.625,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.2857142857142857,1.0,0.4444444444444445,2.0
I-LOC,0.0,0.0,0.0,0.0
B-MISC,0.0,0.0,0.0,1.0
I-MISC,0.0,0.0,0.0,0.0
B-ORG,0.8048780487804879,0.8571428571428571,0.8301886792452831,77.0
I-ORG,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
B-PER,0.875,0.813953488372093,0.8433734939759036,43.0
I-PER,1.0,1.0,1.0,20.0
B-PROD,0.5714285714285714,0.8,0.6666666666666666,5.0
I-PROD,0.0,0.0,0.0,0.0
micro avg,0.7954545454545454,0.8101851851851852,0.8027522935779817,216.0
macro avg,0.40214089207991643,0.4248011678244236,0.3975071016548246,216.0
weighted avg,0.8147955919043318,0.8101851851851852,0.8049789218921726,216.0

C_SAMPLES_CR_all_labels_norbert2_seed_42
,precision,recall,f1-score,support
B-DRV,0.0,0.0,0.0,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.8928571428571429,0.8928571428571429,0.8928571428571429,28.0
I-GPE_LOC,1.0,0.6666666666666666,0.8,6.0
B-GPE_ORG,0.9230769230769231,0.6,0.7272727272727274,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.3333333333333333,1.0,0.5,2.0
I-LOC,0.0,0.0,0.0,0.0
B-MISC,0.0,0.0,0.0,1.0
I-MISC,0.0,0.0,0.0,0.0
B-ORG,0.7395833333333334,0.922077922077922,0.8208092485549133,77.0
I-ORG,0.6923076923076923,0.8181818181818182,0.7500000000000001,11.0
B-PER,0.9047619047619048,0.8837209302325582,0.8941176470588236,43.0
I-PER,1.0,1.0,1.0,20.0
B-PROD,0.5714285714285714,0.8,0.6666666666666666,5.0
I-PROD,0.0,0.0,0.0,0.0
micro avg,0.7905982905982906,0.8564814814814815,0.8222222222222223,216.0
macro avg,0.39207493894993894,0.42130580444533927,0.3917624129116819,216.0
weighted avg,0.8169139406118573,0.8564814814814815,0.8267507353752112,216.0

C_SAMPLES_CR_all_labels_norbert2_seed_8
,precision,recall,f1-score,support
B-DRV,0.0,0.0,0.0,3.0
I-DRV,0.0,0.0,0.0,0.0
B-EVT,0.0,0.0,0.0,0.0
I-EVT,0.0,0.0,0.0,0.0
B-GPE_LOC,0.7272727272727273,0.8571428571428571,0.7868852459016394,28.0
I-GPE_LOC,1.0,0.6666666666666666,0.8,6.0
B-GPE_ORG,0.7272727272727273,0.4,0.5161290322580645,20.0
I-GPE_ORG,0.0,0.0,0.0,0.0
B-LOC,0.2857142857142857,1.0,0.4444444444444445,2.0
I-LOC,0.0,0.0,0.0,0.0
B-MISC,0.0,0.0,0.0,1.0
I-MISC,0.0,0.0,0.0,0.0
B-ORG,0.813953488372093,0.9090909090909091,0.8588957055214723,77.0
I-ORG,0.6,0.8181818181818182,0.6923076923076923,11.0
B-PER,0.9210526315789473,0.813953488372093,0.8641975308641974,43.0
I-PER,1.0,1.0,1.0,20.0
B-PROD,0.6666666666666666,0.8,0.7272727272727272,5.0
I-PROD,0.0,0.0,0.0,0.0
micro avg,0.7857142857142857,0.8148148148148148,0.7999999999999999,216.0
macro avg,0.374551807048747,0.4036130966363525,0.37167402103167985,216.0
weighted avg,0.8041367341499941,0.8148148148148148,0.7990345732562878,216.0
