
NorNE_ne_CF_MATRIX_NO_O_bert-base-multilingual-cased_seed_101
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
B-DRV,57,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0
I-DRV,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,3,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
I-EVT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B-GPE_LOC,0,0,0,0,388,0,15,0,11,0,0,0,3,0,1,0,1,1
I-GPE_LOC,0,0,0,0,0,75,0,2,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,0,0,0,0,13,0,45,0,0,0,0,0,3,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
B-LOC,1,0,0,0,12,0,0,0,134,0,0,0,10,0,11,0,0,0
I-LOC,0,0,0,0,0,1,0,0,2,49,0,0,1,4,2,13,0,0
B-MISC,0,0,2,0,0,0,0,0,2,0,0,0,0,0,6,0,1,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
B-ORG,1,0,1,0,4,0,1,0,8,0,0,0,421,1,13,0,9,0
I-ORG,0,0,0,0,7,0,0,0,0,4,0,0,5,174,1,4,0,11
B-PER,3,0,1,0,1,0,0,0,13,0,0,0,17,1,832,0,3,0
I-PER,0,0,0,0,0,0,0,0,0,4,0,0,0,2,3,497,0,0
B-PROD,3,0,0,0,0,0,0,0,5,0,0,0,15,0,11,0,54,0
I-PROD,0,0,0,0,1,0,0,0,7,0,0,0,0,6,1,3,4,57

NorNE_ne_CF_MATRIX_NO_O_bert-base-multilingual-cased_seed_1024
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
B-DRV,52,0,0,0,1,0,0,0,3,0,0,0,1,0,4,0,2,0
I-DRV,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
I-EVT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B-GPE_LOC,0,1,0,0,378,0,20,0,12,0,0,0,4,0,2,0,1,1
I-GPE_LOC,0,0,0,0,0,73,0,4,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,0,0,0,0,12,0,47,0,1,0,0,0,1,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,21,0,0,0,123,0,0,0,7,0,14,0,0,0
I-LOC,0,0,0,0,0,1,0,0,2,50,0,0,1,3,2,15,0,0
B-MISC,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,1,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
B-ORG,1,0,1,0,6,0,4,0,13,0,0,0,384,2,19,0,13,0
I-ORG,0,0,0,0,5,2,0,1,0,5,0,0,7,180,1,8,0,5
B-PER,0,0,0,0,2,0,0,0,6,0,0,0,8,0,865,2,2,0
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,504,0,0
B-PROD,1,0,0,0,0,0,0,0,2,0,0,0,12,0,11,1,52,0
I-PROD,0,0,0,0,2,0,0,0,5,0,0,0,0,6,2,3,3,65

NorNE_ne_CF_MATRIX_NO_O_bert-base-multilingual-cased_seed_37
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
B-DRV,55,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0
I-DRV,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,4,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
I-EVT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B-GPE_LOC,0,0,0,0,375,1,19,0,12,0,0,0,8,0,2,0,0,2
I-GPE_LOC,0,0,0,0,0,76,0,1,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,0,0,0,0,12,0,46,0,1,0,0,0,2,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
B-LOC,2,0,0,0,13,0,0,0,114,0,0,0,12,0,16,0,1,0
I-LOC,0,0,0,0,0,2,0,0,1,38,0,0,1,12,1,17,0,0
B-MISC,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,0,0,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
B-ORG,1,0,0,0,3,0,4,0,7,0,0,0,400,1,19,0,10,0
I-ORG,0,0,0,0,5,0,0,2,0,3,0,0,4,174,3,7,0,7
B-PER,0,0,0,0,1,0,0,0,5,0,0,0,10,0,830,3,4,0
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,499,0,0
B-PROD,2,0,0,0,0,0,0,0,4,0,1,0,16,0,12,0,46,0
I-PROD,0,0,0,0,1,1,0,0,4,0,0,0,1,7,0,4,3,61

NorNE_ne_CF_MATRIX_NO_O_bert-base-multilingual-cased_seed_42
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
B-DRV,55,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0
I-DRV,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0
I-EVT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B-GPE_LOC,0,0,2,0,369,1,19,0,18,0,0,0,8,0,0,0,1,3
I-GPE_LOC,0,0,0,0,0,72,0,2,0,2,0,0,0,0,0,0,0,1
B-GPE_ORG,1,0,1,0,17,0,39,0,0,0,0,0,2,0,1,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
B-LOC,1,0,0,0,13,0,0,0,137,0,0,0,8,0,7,0,0,0
I-LOC,0,0,0,0,0,1,0,0,2,58,0,0,1,3,3,6,0,0
B-MISC,0,0,3,0,0,0,0,0,1,0,0,0,0,0,5,0,2,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
B-ORG,1,0,0,0,3,0,3,0,7,0,0,0,421,2,17,0,8,0
I-ORG,0,0,0,0,5,0,1,0,0,3,0,0,4,187,2,4,0,8
B-PER,0,0,1,0,2,0,0,0,5,0,0,0,20,0,857,1,6,0
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,496,0,0
B-PROD,2,0,0,0,0,0,0,0,3,0,0,0,13,1,10,0,58,0
I-PROD,0,0,0,0,1,0,0,0,8,0,0,0,0,5,1,2,3,68

NorNE_ne_CF_MATRIX_NO_O_bert-base-multilingual-cased_seed_8
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
B-DRV,57,0,0,0,0,0,0,0,3,0,0,0,1,0,4,0,2,0
I-DRV,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,5,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0
I-EVT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B-GPE_LOC,0,1,1,0,373,0,16,0,18,0,0,0,5,0,2,0,1,2
I-GPE_LOC,0,0,0,0,0,74,0,3,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,0,0,0,0,15,0,44,0,0,0,0,0,2,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0
B-LOC,2,0,0,0,15,0,0,0,133,0,0,0,7,0,13,0,1,0
I-LOC,0,0,0,0,0,1,0,0,2,47,0,0,1,6,1,17,0,0
B-MISC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,2,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
B-ORG,3,0,0,0,5,0,1,0,12,0,0,0,389,3,22,0,24,0
I-ORG,0,0,0,0,5,0,0,0,0,5,0,0,5,181,2,7,0,13
B-PER,0,0,0,0,2,0,0,0,4,0,0,0,9,0,878,2,5,0
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,499,0,0
B-PROD,3,0,0,0,1,0,0,0,1,0,0,0,15,0,9,1,55,0
I-PROD,0,0,0,0,1,0,0,0,5,0,0,0,0,3,1,4,4,68
