
NorNE_ne_CR_IOB2_bert-base-multilingual-cased_seed_101
,precision,recall,f1-score,support
DRV,0.7,0.717948717948718,0.708860759493671,78.0
EVT,0.25,0.2857142857142857,0.26666666666666666,14.0
GPE_LOC,0.8937644341801386,0.9042056074766355,0.8989547038327526,428.0
GPE_ORG,0.7377049180327869,0.7377049180327869,0.7377049180327869,61.0
LOC,0.6439024390243903,0.7135135135135136,0.676923076923077,185.0
MISC,0.0,0.0,0.0,14.0
ORG,0.7555970149253731,0.7773512476007678,0.7663197729422894,521.0
PER,0.9126106194690266,0.858480749219563,0.8847184986595173,961.0
PROD,0.44642857142857145,0.3816793893129771,0.411522633744856,131.0
micro avg,0.8105576841209026,0.795653990806519,0.8030366933783214,2393.0
macro avg,0.5933342218955874,0.5973998254243608,0.5946301144772907,2393.0
weighted avg,0.8081571759262884,0.795653990806519,0.8012471370582249,2393.0

NorNE_ne_CR_IOB2_bert-base-multilingual-cased_seed_1024
,precision,recall,f1-score,support
DRV,0.7878787878787878,0.6666666666666666,0.7222222222222221,78.0
EVT,0.4444444444444444,0.2857142857142857,0.34782608695652173,14.0
GPE_LOC,0.8706697459584296,0.8808411214953271,0.875725900116144,428.0
GPE_ORG,0.6527777777777778,0.7704918032786885,0.7067669172932329,61.0
LOC,0.6210526315789474,0.6378378378378379,0.6293333333333334,185.0
MISC,0.0,0.0,0.0,14.0
ORG,0.7898089171974523,0.7140115163147792,0.75,521.0
PER,0.8957247132429614,0.8938605619146722,0.8947916666666667,961.0
PROD,0.5975609756097561,0.37404580152671757,0.46009389671361506,131.0
micro avg,0.8229623137598597,0.7847889678228166,0.8034224598930482,2393.0
macro avg,0.6288797770765063,0.5803855105276639,0.5985288914779706,2393.0
weighted avg,0.8130380206121027,0.7847889678228166,0.7966862200410106,2393.0

NorNE_ne_CR_IOB2_bert-base-multilingual-cased_seed_37
,precision,recall,f1-score,support
DRV,0.7746478873239436,0.7051282051282052,0.738255033557047,78.0
EVT,0.2857142857142857,0.14285714285714285,0.19047619047619047,14.0
GPE_LOC,0.8992805755395683,0.8761682242990654,0.8875739644970414,428.0
GPE_ORG,0.647887323943662,0.7540983606557377,0.6969696969696969,61.0
LOC,0.7215189873417721,0.6162162162162163,0.6647230320699709,185.0
MISC,0.07692307692307693,0.07142857142857142,0.07407407407407408,14.0
ORG,0.7642436149312377,0.746641074856046,0.7553398058252427,521.0
PER,0.8962882096069869,0.854318418314256,0.8748002131060203,961.0
PROD,0.5714285714285714,0.33587786259541985,0.4230769230769231,131.0
micro avg,0.8249218401071907,0.7718345173422482,0.797495682210708,2393.0
macro avg,0.6264369480836783,0.5669704529278512,0.5894765481835785,2393.0
weighted avg,0.8181173086947552,0.7718345173422482,0.7924347204876294,2393.0

NorNE_ne_CR_IOB2_bert-base-multilingual-cased_seed_42
,precision,recall,f1-score,support
DRV,0.7534246575342466,0.7051282051282052,0.728476821192053,78.0
EVT,0.2608695652173913,0.42857142857142855,0.3243243243243243,14.0
GPE_LOC,0.8867469879518072,0.8598130841121495,0.8730723606168446,428.0
GPE_ORG,0.609375,0.639344262295082,0.624,61.0
LOC,0.6521739130434783,0.7297297297297297,0.6887755102040817,185.0
MISC,0.0,0.0,0.0,14.0
ORG,0.7342908438061041,0.7850287907869482,0.7588126159554732,521.0
PER,0.9118279569892473,0.882414151925078,0.8968799576943417,961.0
PROD,0.4824561403508772,0.4198473282442748,0.4489795918367347,131.0
micro avg,0.8032718120805369,0.8002507312996239,0.8017584257902449,2393.0
macro avg,0.5879072294325725,0.6055418867547663,0.5937023535359837,2393.0
weighted avg,0.8030944453124711,0.8002507312996239,0.8009124576318268,2393.0

NorNE_ne_CR_IOB2_bert-base-multilingual-cased_seed_8
,precision,recall,f1-score,support
DRV,0.6063829787234043,0.7307692307692307,0.6627906976744187,78.0
EVT,0.0,0.0,0.0,14.0
GPE_LOC,0.8671328671328671,0.8691588785046729,0.8681446907817969,428.0
GPE_ORG,0.7049180327868853,0.7049180327868853,0.7049180327868853,61.0
LOC,0.6517412935323383,0.7081081081081081,0.6787564766839379,185.0
MISC,0.0,0.0,0.0,14.0
ORG,0.7529880478087649,0.72552783109405,0.7390029325513198,521.0
PER,0.8872950819672131,0.9011446409989594,0.8941662364481155,961.0
PROD,0.39552238805970147,0.40458015267175573,0.39999999999999997,131.0
micro avg,0.7913369429404414,0.7939824488090264,0.7926574885273259,2393.0
macro avg,0.5406645211123526,0.5604674305481846,0.549753229658497,2393.0
weighted avg,0.7851289838242601,0.7939824488090264,0.7891967535919846,2393.0
