
NorNE_ne_CR_all_labels_bert-base-multilingual-cased_seed_101
,precision,recall,f1-score,support
B-DRV,0.7125,0.7307692307692307,0.7215189873417722,78.0
I-DRV,0.5454545454545454,0.46153846153846156,0.4999999999999999,13.0
B-EVT,0.25,0.2857142857142857,0.26666666666666666,14.0
I-EVT,0.1,0.25,0.14285714285714288,4.0
B-GPE_LOC,0.8960739030023095,0.9065420560747663,0.9012775842044135,428.0
I-GPE_LOC,0.9146341463414634,0.9493670886075949,0.9316770186335404,79.0
B-GPE_ORG,0.7377049180327869,0.7377049180327869,0.7377049180327869,61.0
I-GPE_ORG,0.7777777777777778,1.0,0.8750000000000001,7.0
B-LOC,0.6536585365853659,0.7243243243243244,0.6871794871794872,185.0
I-LOC,0.8166666666666667,0.5764705882352941,0.6758620689655171,85.0
B-MISC,0.0,0.0,0.0,14.0
I-MISC,0.0,0.0,0.0,3.0
B-ORG,0.7854477611940298,0.8080614203454894,0.7965941343424787,521.0
I-ORG,0.883248730964467,0.7016129032258065,0.7820224719101123,248.0
B-PER,0.9203539823008849,0.8657648283038502,0.8922252010723861,961.0
I-PER,0.9557692307692308,0.9745098039215686,0.9650485436893204,510.0
B-PROD,0.48214285714285715,0.4122137404580153,0.4444444444444445,131.0
I-PROD,0.6333333333333333,0.4523809523809524,0.5277777777777778,126.0
micro avg,0.8416466346153846,0.8076701268742791,0.8243084167157152,3468.0
macro avg,0.6147092438647621,0.6020541445518014,0.602658691506547,3468.0
weighted avg,0.8380209761668762,0.8076701268742791,0.8204805447461682,3468.0

NorNE_ne_CR_all_labels_bert-base-multilingual-cased_seed_1024
,precision,recall,f1-score,support
B-DRV,0.7878787878787878,0.6666666666666666,0.7222222222222221,78.0
I-DRV,0.45454545454545453,0.38461538461538464,0.41666666666666663,13.0
B-EVT,0.5555555555555556,0.35714285714285715,0.43478260869565216,14.0
I-EVT,0.0,0.0,0.0,4.0
B-GPE_LOC,0.8729792147806005,0.883177570093458,0.8780487804878049,428.0
I-GPE_LOC,0.8795180722891566,0.9240506329113924,0.9012345679012346,79.0
B-GPE_ORG,0.6527777777777778,0.7704918032786885,0.7067669172932329,61.0
I-GPE_ORG,0.5,1.0,0.6666666666666666,7.0
B-LOC,0.6473684210526316,0.6648648648648648,0.656,185.0
I-LOC,0.8064516129032258,0.5882352941176471,0.6802721088435375,85.0
B-MISC,0.0,0.0,0.0,14.0
I-MISC,0.0,0.0,0.0,3.0
B-ORG,0.8152866242038217,0.7370441458733206,0.7741935483870969,521.0
I-ORG,0.8653846153846154,0.7258064516129032,0.7894736842105263,248.0
B-PER,0.9019812304483837,0.9001040582726326,0.9010416666666666,961.0
I-PER,0.9368029739776952,0.9882352941176471,0.9618320610687024,510.0
B-PROD,0.6341463414634146,0.3969465648854962,0.4882629107981221,131.0
I-PROD,0.7386363636363636,0.5158730158730159,0.6074766355140188,126.0
micro avg,0.8472517461281506,0.8044982698961938,0.8253216979736725,3468.0
macro avg,0.6138507247720826,0.5835141446847765,0.5880522803012306,3468.0
weighted avg,0.8390957274450105,0.8044982698961938,0.8183062704448918,3468.0

NorNE_ne_CR_all_labels_bert-base-multilingual-cased_seed_37
,precision,recall,f1-score,support
B-DRV,0.7746478873239436,0.7051282051282052,0.738255033557047,78.0
I-DRV,0.7142857142857143,0.38461538461538464,0.5,13.0
B-EVT,0.2857142857142857,0.14285714285714285,0.19047619047619047,14.0
I-EVT,0.0,0.0,0.0,4.0
B-GPE_LOC,0.8992805755395683,0.8761682242990654,0.8875739644970414,428.0
I-GPE_LOC,0.8636363636363636,0.9620253164556962,0.9101796407185629,79.0
B-GPE_ORG,0.647887323943662,0.7540983606557377,0.6969696969696969,61.0
I-GPE_ORG,0.7,1.0,0.8235294117647058,7.0
B-LOC,0.7215189873417721,0.6162162162162163,0.6647230320699709,185.0
I-LOC,0.8837209302325582,0.4470588235294118,0.5937500000000001,85.0
B-MISC,0.07692307692307693,0.07142857142857142,0.07407407407407408,14.0
I-MISC,0.0,0.0,0.0,3.0
B-ORG,0.7858546168958742,0.7677543186180422,0.7766990291262136,521.0
I-ORG,0.8613861386138614,0.7016129032258065,0.7733333333333334,248.0
B-PER,0.9061135371179039,0.8636836628511967,0.8843899840170485,961.0
I-PER,0.9344569288389513,0.9784313725490196,0.9559386973180076,510.0
B-PROD,0.5974025974025974,0.3511450381679389,0.4423076923076923,131.0
I-PROD,0.7093023255813954,0.48412698412698413,0.5754716981132076,126.0
micro avg,0.8493619670090259,0.7869088811995386,0.8169435713216585,3468.0
macro avg,0.6312295160773072,0.5614639180402455,0.5826484154634886,3468.0
weighted avg,0.8416830865227296,0.7869088811995386,0.8090028621227412,3468.0

NorNE_ne_CR_all_labels_bert-base-multilingual-cased_seed_42
,precision,recall,f1-score,support
B-DRV,0.7534246575342466,0.7051282051282052,0.728476821192053,78.0
I-DRV,0.5454545454545454,0.46153846153846156,0.4999999999999999,13.0
