
NorNE_ne_CF_MATRIX_NO_O_nb-bert-base_seed_101
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
B-DRV,64,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
I-DRV,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,2,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
I-EVT,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B-GPE_LOC,0,0,0,0,398,0,12,0,10,0,0,0,3,1,0,0,1,2
I-GPE_LOC,0,0,0,0,0,76,0,1,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,0,0,0,0,14,0,47,0,0,0,0,0,0,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,14,0,0,0,148,1,0,0,11,0,3,0,0,0
I-LOC,0,0,0,0,0,0,0,0,1,65,0,0,0,9,1,7,0,0
B-MISC,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
B-ORG,3,0,1,0,2,0,1,0,10,0,0,0,444,1,18,0,10,0
I-ORG,0,0,0,0,6,0,0,0,0,5,0,0,6,196,0,4,0,6
B-PER,1,0,0,0,1,0,0,0,1,0,0,0,10,0,933,1,3,0
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,501,0,0
B-PROD,4,0,0,0,0,0,1,0,4,0,0,0,14,0,8,0,77,2
I-PROD,0,1,0,0,2,0,0,0,5,0,0,0,0,6,1,4,1,67

NorNE_ne_CF_MATRIX_NO_O_nb-bert-base_seed_1024
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
B-DRV,64,0,1,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0
I-DRV,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,1,0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
I-EVT,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-GPE_LOC,0,0,1,0,386,1,14,0,13,0,0,0,5,0,5,0,1,1
I-GPE_LOC,0,0,0,0,0,76,0,1,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,0,0,0,0,10,0,50,0,0,0,0,0,1,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,11,0,0,0,140,0,0,0,9,0,11,0,0,0
I-LOC,0,0,0,0,0,0,0,0,2,53,0,0,0,5,1,17,0,0
B-MISC,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
B-ORG,3,0,1,0,1,0,2,0,7,0,0,0,443,3,18,0,7,0
I-ORG,0,0,0,1,6,0,0,0,0,2,0,0,6,187,1,9,0,4
B-PER,0,0,0,0,0,0,0,0,1,0,0,0,7,0,941,0,2,0
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,500,0,0
B-PROD,4,0,0,0,0,0,1,0,3,0,0,0,14,0,9,0,74,0
I-PROD,0,0,0,0,1,0,0,0,6,0,0,0,0,5,1,6,3,48

NorNE_ne_CF_MATRIX_NO_O_nb-bert-base_seed_37
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
B-DRV,56,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0
I-DRV,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,0,0,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
I-EVT,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
B-GPE_LOC,0,1,0,0,388,1,16,0,14,1,0,0,2,1,0,0,1,0
I-GPE_LOC,0,0,0,0,0,71,0,4,0,2,0,0,0,0,0,0,0,0
B-GPE_ORG,0,0,0,0,16,0,45,0,0,0,0,0,0,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,9,0,0,0,151,0,0,0,7,0,5,0,0,0
I-LOC,0,0,0,0,0,0,0,0,2,67,0,0,0,1,1,8,0,0
B-MISC,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B-ORG,1,0,1,0,1,0,1,0,11,0,0,0,427,1,13,0,23,0
I-ORG,1,0,0,0,4,0,0,0,0,4,0,0,6,183,1,4,0,16
B-PER,1,0,0,0,0,0,0,0,4,0,0,0,11,0,923,1,4,0
I-PER,0,0,0,1,0,0,0,0,0,3,0,0,0,0,9,495,0,0
B-PROD,3,0,0,0,1,0,0,0,3,0,0,0,7,0,7,0,73,1
I-PROD,0,0,0,0,1,0,0,0,6,1,0,0,0,3,1,5,1,60

NorNE_ne_CF_MATRIX_NO_O_nb-bert-base_seed_42
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
B-DRV,59,1,1,0,0,0,0,0,3,0,0,0,1,0,2,0,1,0
I-DRV,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,2,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
I-EVT,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B-GPE_LOC,0,0,0,0,400,1,11,0,9,0,0,0,2,0,0,0,2,1
I-GPE_LOC,0,0,0,0,0,74,0,3,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,0,0,0,0,15,0,43,0,0,0,0,0,3,0,0,0,0,0
