
NorNE_ne_CR_IOB2_nb-bert-base_seed_101
,precision,recall,f1-score,support
DRV,0.7045454545454546,0.7948717948717948,0.746987951807229,78.0
EVT,0.6666666666666666,0.7142857142857143,0.689655172413793,14.0
GPE_LOC,0.8774617067833698,0.9369158878504673,0.9062146892655366,428.0
GPE_ORG,0.803921568627451,0.6721311475409836,0.7321428571428572,61.0
LOC,0.7395833333333334,0.7675675675675676,0.7533156498673741,185.0
MISC,1.0,0.7142857142857143,0.8333333333333333,14.0
ORG,0.8359683794466403,0.8119001919385797,0.8237585199610515,521.0
PER,0.939060939060939,0.9781477627471384,0.9582059123343527,961.0
PROD,0.5144927536231884,0.5419847328244275,0.5278810408921933,131.0
micro avg,0.8543531326281529,0.8775595486836607,0.8658008658008659,2393.0
macro avg,0.7868556446763381,0.7702322793235985,0.7746105696686356,2393.0
weighted avg,0.8546089680309245,0.8775595486836607,0.8652893367522566,2393.0

NorNE_ne_CR_IOB2_nb-bert-base_seed_1024
,precision,recall,f1-score,support
DRV,0.7564102564102564,0.7564102564102564,0.7564102564102565,78.0
EVT,0.5384615384615384,0.5,0.5185185185185186,14.0
GPE_LOC,0.8926174496644296,0.9322429906542056,0.912,428.0
GPE_ORG,0.7719298245614035,0.7213114754098361,0.7457627118644067,61.0
LOC,0.75,0.7783783783783784,0.7639257294429709,185.0
MISC,0.0,0.0,0.0,14.0
ORG,0.8580121703853956,0.8119001919385797,0.8343195266272189,521.0
PER,0.9387550200803213,0.9729448491155047,0.9555442003065918,961.0
PROD,0.5873015873015873,0.5648854961832062,0.575875486381323,131.0
micro avg,0.8680266444629475,0.8712912661930631,0.8696558915537018,2393.0
macro avg,0.6770542052072146,0.6708970708988852,0.6735951588390319,2393.0
weighted avg,0.8610617936889138,0.8712912661930631,0.8657798509040145,2393.0

NorNE_ne_CR_IOB2_nb-bert-base_seed_37
,precision,recall,f1-score,support
DRV,0.8194444444444444,0.7564102564102564,0.7866666666666666,78.0
EVT,0.6666666666666666,0.5714285714285714,0.6153846153846153,14.0
GPE_LOC,0.9103448275862069,0.9252336448598131,0.9177288528389339,428.0
GPE_ORG,0.7272727272727273,0.7868852459016393,0.7559055118110236,61.0
LOC,0.7447916666666666,0.772972972972973,0.7586206896551724,185.0
MISC,0.6153846153846154,0.5714285714285714,0.5925925925925927,14.0
ORG,0.8478260869565217,0.8234165067178503,0.8354430379746834,521.0
PER,0.9359359359359359,0.9729448491155047,0.9540816326530612,961.0
PROD,0.5689655172413793,0.5038167938931297,0.5344129554655871,131.0
micro avg,0.8676897552882621,0.8742164646886753,0.8709408825978352,2393.0
macro avg,0.7596258320172404,0.7427263791920343,0.7500929505602597,2393.0
weighted avg,0.8647427388285223,0.8742164646886753,0.8690602016982104,2393.0

NorNE_ne_CR_IOB2_nb-bert-base_seed_42
,precision,recall,f1-score,support
DRV,0.7692307692307693,0.7692307692307693,0.7692307692307693,78.0
EVT,0.3888888888888889,0.5,0.43750000000000006,14.0
GPE_LOC,0.9111617312072893,0.9345794392523364,0.9227220299884659,428.0
GPE_ORG,0.75,0.7868852459016393,0.768,61.0
LOC,0.7540106951871658,0.7621621621621621,0.7580645161290321,185.0
MISC,0.3333333333333333,0.35714285714285715,0.3448275862068965,14.0
ORG,0.8237547892720306,0.8253358925143954,0.8245445829338447,521.0
PER,0.9311740890688259,0.9573361082206036,0.9440738840430991,961.0
PROD,0.536,0.5114503816793893,0.5234375,131.0
micro avg,0.8530377668308703,0.868366067697451,0.8606336715676124,2393.0
macro avg,0.6886171440209226,0.7115692062337948,0.699155652059123,2393.0
weighted avg,0.8523112643056108,0.868366067697451,0.8601674021311252,2393.0

NorNE_ne_CR_IOB2_nb-bert-base_seed_8
,precision,recall,f1-score,support
DRV,0.76,0.7307692307692307,0.7450980392156863,78.0
EVT,0.6666666666666666,0.5714285714285714,0.6153846153846153,14.0
GPE_LOC,0.8942731277533039,0.9485981308411215,0.9206349206349206,428.0
GPE_ORG,0.86,0.7049180327868853,0.7747747747747747,61.0
LOC,0.7526881720430108,0.7567567567567568,0.7547169811320754,185.0
MISC,0.8,0.5714285714285714,0.6666666666666666,14.0
ORG,0.848605577689243,0.817658349328215,0.8328445747800586,521.0
PER,0.9494949494949495,0.9781477627471384,0.9636084059456689,961.0
PROD,0.6454545454545455,0.5419847328244275,0.5892116182572614,131.0
micro avg,0.8786102971954792,0.8771416631842875,0.8778753659556671,2393.0
macro avg,0.7974647821224132,0.7357433487678797,0.7625489551990808,2393.0
weighted avg,0.8748066200313381,0.8771416631842875,0.8750975500943929,2393.0
