
NorNE_ne_CR_all_labels_nb-bert-base_seed_101
,precision,recall,f1-score,support
B-DRV,0.7032967032967034,0.8205128205128205,0.7573964497041421,78.0
I-DRV,0.5,0.46153846153846156,0.48000000000000004,13.0
B-EVT,0.6153846153846154,0.5714285714285714,0.5925925925925927,14.0
I-EVT,0.6666666666666666,0.5,0.5714285714285715,4.0
B-GPE_LOC,0.8984198645598194,0.9299065420560748,0.9138920780711826,428.0
I-GPE_LOC,0.9047619047619048,0.9620253164556962,0.9325153374233128,79.0
B-GPE_ORG,0.7580645161290323,0.7704918032786885,0.7642276422764228,61.0
I-GPE_ORG,0.7777777777777778,1.0,0.8750000000000001,7.0
B-LOC,0.7589743589743589,0.8,0.7789473684210527,185.0
I-LOC,0.8783783783783784,0.7647058823529411,0.8176100628930816,85.0
B-MISC,1.0,0.2857142857142857,0.4444444444444445,14.0
I-MISC,0.0,0.0,0.0,3.0
B-ORG,0.8161764705882353,0.8522072936660269,0.8338028169014086,521.0
I-ORG,0.8521739130434782,0.7903225806451613,0.8200836820083682,248.0
B-PER,0.9520408163265306,0.9708636836628513,0.9613601236476044,961.0
I-PER,0.9690522243713733,0.9823529411764705,0.9756572541382668,510.0
B-PROD,0.5877862595419847,0.5877862595419847,0.5877862595419847,131.0
I-PROD,0.6146788990825688,0.5317460317460317,0.5702127659574467,126.0
micro avg,0.8691802342187946,0.8774509803921569,0.8732960252546994,3468.0
macro avg,0.736312964937968,0.6989779152097815,0.7042754138583268,3468.0
weighted avg,0.8678034477977434,0.8774509803921569,0.8712144721236862,3468.0

NorNE_ne_CR_all_labels_nb-bert-base_seed_1024
,precision,recall,f1-score,support
B-DRV,0.7272727272727273,0.8205128205128205,0.7710843373493976,78.0
I-DRV,0.6666666666666666,0.46153846153846156,0.5454545454545455,13.0
B-EVT,0.47368421052631576,0.6428571428571429,0.5454545454545454,14.0
I-EVT,0.6666666666666666,1.0,0.8,4.0
B-GPE_LOC,0.9146919431279621,0.9018691588785047,0.908235294117647,428.0
I-GPE_LOC,0.8941176470588236,0.9620253164556962,0.926829268292683,79.0
B-GPE_ORG,0.7352941176470589,0.819672131147541,0.7751937984496124,61.0
I-GPE_ORG,0.7,1.0,0.8235294117647058,7.0
B-LOC,0.7407407407407407,0.7567567567567568,0.7486631016042781,185.0
I-LOC,0.9464285714285714,0.6235294117647059,0.75177304964539,85.0
B-MISC,1.0,0.7142857142857143,0.8333333333333333,14.0
I-MISC,1.0,0.3333333333333333,0.5,3.0
B-ORG,0.8438095238095238,0.8502879078694817,0.8470363288718928,521.0
I-ORG,0.8862559241706162,0.7540322580645161,0.8148148148148148,248.0
B-PER,0.933531746031746,0.9791883454734651,0.9558151345860844,961.0
I-PER,0.9380863039399625,0.9803921568627451,0.9587727708533078,510.0
B-PROD,0.5873015873015873,0.5648854961832062,0.575875486381323,131.0
I-PROD,0.7058823529411765,0.38095238095238093,0.4948453608247422,126.0
micro avg,0.8733255678509028,0.8647635524798154,0.8690234714575484,3468.0
macro avg,0.797801707185008,0.7525621551631375,0.7542616989887947,3468.0
weighted avg,0.8713650449888654,0.8647635524798154,0.8642792126463988,3468.0

NorNE_ne_CR_all_labels_nb-bert-base_seed_37
,precision,recall,f1-score,support
