,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
B-DRV,62,1,1,0,0,0,0,0,3,0,0,0,0,0,0.8,0,0.2,0,10
I-DRV,0.6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
B-EVT,0.6,0,9.6,0,0.8,0,0,0,0.4,0,0,0,0.6,0,0,0,0.6,0,1.4
I-EVT,0,0,0,1.6,0.8,0,0,0,0,0.2,0,0,0,0,0,0,0,0.4,1
B-GPE_LOC,0,0.4,0,0,400,0.8,8,0,11.8,0,0,0,2,0.4,0,0,1.4,1.4,1.8
I-GPE_LOC,0,0,0,0,0,73.8,0,1.6,0,1.6,0,0,0,0,0,0,0,0,2
B-GPE_ORG,0.8,0,0,0,20.6,0,39.2,0,0,0,0,0,0.4,0,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
B-LOC,0.2,0,0,0,11.8,0,0,0,146,0,0,0,4.8,0.2,7.4,0,0,0,14.6
I-LOC,0,0,0,0,0,0.4,0,0,2,63.2,0,0,0,2.8,1,11.8,0,0,3.8
B-MISC,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,1.8,0,1.4,0,5.2
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,2.4
B-ORG,1.6,0,1,0,1,0,1.6,0,12.6,0,0,0,428.6,1.4,15.6,0,14.8,0,42.8
I-ORG,0,0,0,0.8,5.6,0,0,0,0.2,6.2,0,0,6,179.2,0.8,5.4,0,7.2,36.6
B-PER,0.4,0,0,0,1,0,1,0,2.4,0,0,0,8.8,0,931.2,1.2,2.8,0,12.2
I-PER,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.2,6,501.4,0,0.2,1.8
B-PROD,0.8,0,0,0,0.2,0,0.8,0,2.8,0,0,0,10.8,0,8.2,0,79.4,0.2,27.8
I-PROD,0,0,0,0,2,0,0,0,5,0,0,0,0,4,1,3.6,2.6,60.8,47
O,14.2,5.4,5.8,3,5.4,6.6,1.2,1.6,6.6,1.8,0,0,30.2,6.6,5.4,2.4,38.4,25.8,0
