
NorNE_ne_CR_IOB2_nbailab-base-ner-scandi_seed_101
,precision,recall,f1-score,support
DRV,0.7469879518072289,0.7948717948717948,0.7701863354037267,78.0
EVT,0.5,0.8571428571428571,0.631578947368421,14.0
GPE_LOC,0.8911111111111111,0.9369158878504673,0.9134396355353076,428.0
GPE_ORG,0.7916666666666666,0.6229508196721312,0.6972477064220183,61.0
LOC,0.7759562841530054,0.7675675675675676,0.7717391304347825,185.0
MISC,0.8888888888888888,0.5714285714285714,0.6956521739130435,14.0
ORG,0.8502024291497976,0.8061420345489443,0.8275862068965517,521.0
PER,0.9540347293156282,0.9719042663891779,0.9628865979381442,961.0
PROD,0.46107784431137727,0.5877862595419847,0.5167785234899329,131.0
micro avg,0.8592531801395158,0.8750522356874216,0.867080745341615,2393.0
macro avg,0.7622139894893005,0.7685233398903885,0.7541216952668809,2393.0
weighted avg,0.8654963132219348,0.8750522356874216,0.868832513196641,2393.0

NorNE_ne_CR_IOB2_nbailab-base-ner-scandi_seed_1024
,precision,recall,f1-score,support
DRV,0.7631578947368421,0.7435897435897436,0.7532467532467534,78.0
EVT,0.5294117647058824,0.6428571428571429,0.5806451612903226,14.0
GPE_LOC,0.8820960698689956,0.9439252336448598,0.9119638826185102,428.0
GPE_ORG,0.8085106382978723,0.6229508196721312,0.7037037037037038,61.0
LOC,0.7345971563981043,0.8378378378378378,0.7828282828282829,185.0
MISC,0.8,0.5714285714285714,0.6666666666666666,14.0
ORG,0.8418891170431212,0.7869481765834933,0.8134920634920635,521.0
PER,0.961093585699264,0.951092611862643,0.9560669456066946,961.0
PROD,0.5342465753424658,0.5954198473282443,0.5631768953068592,131.0
micro avg,0.8630878069080317,0.8666945256999582,0.8648874061718099,2393.0
macro avg,0.761666978010283,0.7440055538671853,0.7479767060844285,2393.0
weighted avg,0.8663252354682105,0.8666945256999582,0.8653034623682082,2393.0

NorNE_ne_CR_IOB2_nbailab-base-ner-scandi_seed_37
,precision,recall,f1-score,support
DRV,0.6888888888888889,0.7948717948717948,0.738095238095238,78.0
EVT,0.4117647058823529,0.5,0.45161290322580644,14.0
GPE_LOC,0.875,0.9322429906542056,0.9027149321266968,428.0
GPE_ORG,0.7222222222222222,0.639344262295082,0.6782608695652174,61.0
LOC,0.7277486910994765,0.7513513513513513,0.7393617021276596,185.0
MISC,0.0,0.0,0.0,14.0
ORG,0.8438133874239351,0.7984644913627639,0.8205128205128205,521.0
PER,0.9451219512195121,0.967741935483871,0.9562982005141388,961.0
PROD,0.5609756097560976,0.5267175572519084,0.5433070866141733,131.0
micro avg,0.8558970099667774,0.861262014208107,0.8585711310143721,2393.0
macro avg,0.6417261618324984,0.6567482648078863,0.6477959725313056,2393.0
weighted avg,0.8500057991945321,0.861262014208107,0.8550249923241267,2393.0

NorNE_ne_CR_IOB2_nbailab-base-ner-scandi_seed_42
,precision,recall,f1-score,support
DRV,0.7317073170731707,0.7692307692307693,0.7499999999999999,78.0
EVT,0.6,0.6428571428571429,0.6206896551724138,14.0
GPE_LOC,0.9,0.9252336448598131,0.9124423963133641,428.0
GPE_ORG,0.7407407407407407,0.6557377049180327,0.6956521739130433,61.0
LOC,0.7580645161290323,0.7621621621621621,0.7601078167115903,185.0
MISC,1.0,0.2857142857142857,0.4444444444444445,14.0
ORG,0.8513238289205702,0.8023032629558541,0.826086956521739,521.0
PER,0.9491353001017294,0.9708636836628513,0.9598765432098767,961.0
PROD,0.5104895104895105,0.5572519083969466,0.5328467153284672,131.0
micro avg,0.8648874061718098,0.8666945256999582,0.8657900229597161,2393.0
macro avg,0.7823845792727504,0.7079282849730953,0.7224607446238821,2393.0
weighted avg,0.8661233412203379,0.8666945256999582,0.8648673354774938,2393.0

NorNE_ne_CR_IOB2_nbailab-base-ner-scandi_seed_8
,precision,recall,f1-score,support
DRV,0.7733333333333333,0.7435897435897436,0.7581699346405228,78.0
EVT,0.5714285714285714,0.5714285714285714,0.5714285714285714,14.0
GPE_LOC,0.8981900452488688,0.927570093457944,0.9126436781609195,428.0
GPE_ORG,0.7321428571428571,0.6721311475409836,0.7008547008547008,61.0
LOC,0.7668393782383419,0.8,0.7830687830687831,185.0
MISC,1.0,0.35714285714285715,0.5263157894736842,14.0
ORG,0.8548387096774194,0.8138195777351248,0.8338249754178958,521.0
PER,0.938938938938939,0.9760665972944849,0.9571428571428572,961.0
PROD,0.5891472868217055,0.5801526717557252,0.5846153846153846,131.0
micro avg,0.8696554586965546,0.8754701211867948,0.8725531028738025,2393.0
macro avg,0.7916510134255597,0.7157668066606039,0.7364516305337021,2393.0
weighted avg,0.8684249566494873,0.8754701211867948,0.8706889866773726,2393.0
