
NorNE_ne_CR_all_labels_nbailab-base-ner-scandi_seed_101
,precision,recall,f1-score,support
B-DRV,0.7710843373493976,0.8205128205128205,0.7950310559006212,78.0
I-DRV,0.6,0.46153846153846156,0.5217391304347826,13.0
B-EVT,0.5416666666666666,0.9285714285714286,0.6842105263157894,14.0
I-EVT,0.2,0.5,0.28571428571428575,4.0
B-GPE_LOC,0.8911111111111111,0.9369158878504673,0.9134396355353076,428.0
I-GPE_LOC,0.9367088607594937,0.9367088607594937,0.9367088607594937,79.0
B-GPE_ORG,0.7916666666666666,0.6229508196721312,0.6972477064220183,61.0
I-GPE_ORG,0.7,1.0,0.8235294117647058,7.0
B-LOC,0.7923497267759563,0.7837837837837838,0.7880434782608696,185.0
I-LOC,0.8571428571428571,0.7058823529411765,0.7741935483870968,85.0
B-MISC,1.0,0.6428571428571429,0.782608695652174,14.0
I-MISC,1.0,0.3333333333333333,0.5,3.0
B-ORG,0.8724696356275303,0.8272552783109405,0.8492610837438423,521.0
I-ORG,0.9326424870466321,0.7258064516129032,0.8163265306122449,248.0
B-PER,0.9560776302349336,0.9739854318418314,0.9649484536082473,961.0
I-PER,0.9524714828897338,0.9823529411764705,0.9671814671814672,510.0
B-PROD,0.49101796407185627,0.6259541984732825,0.5503355704697986,131.0
I-PROD,0.6179775280898876,0.4365079365079365,0.5116279069767441,126.0
micro avg,0.8773722627737226,0.8664936562860438,0.8718990279994197,3468.0
macro avg,0.7724659419129289,0.7358287294302003,0.7312304082077493,3468.0
weighted avg,0.8806080086191711,0.8664936562860438,0.8704924811977355,3468.0

NorNE_ne_CR_all_labels_nbailab-base-ner-scandi_seed_1024
,precision,recall,f1-score,support
B-DRV,0.7763157894736842,0.7564102564102564,0.7662337662337663,78.0
I-DRV,0.42857142857142855,0.46153846153846156,0.4444444444444445,13.0
B-EVT,0.5882352941176471,0.7142857142857143,0.6451612903225806,14.0
I-EVT,0.16666666666666666,0.25,0.2,4.0
B-GPE_LOC,0.8820960698689956,0.9439252336448598,0.9119638826185102,428.0
I-GPE_LOC,0.9259259259259259,0.9493670886075949,0.9375000000000001,79.0
B-GPE_ORG,0.8085106382978723,0.6229508196721312,0.7037037037037038,61.0
I-GPE_ORG,1.0,1.0,1.0,7.0
B-LOC,0.7393364928909952,0.8432432432432433,0.787878787878788,185.0
I-LOC,0.8160919540229885,0.8352941176470589,0.8255813953488372,85.0
B-MISC,1.0,0.7142857142857143,0.8333333333333333,14.0
I-MISC,1.0,0.3333333333333333,0.5,3.0
B-ORG,0.8685831622176592,0.8119001919385797,0.8392857142857143,521.0
I-ORG,0.9351351351351351,0.6975806451612904,0.7990762124711318,248.0
B-PER,0.961093585699264,0.951092611862643,0.9560669456066946,961.0
I-PER,0.9689922480620154,0.9803921568627451,0.9746588693957114,510.0
B-PROD,0.5821917808219178,0.648854961832061,0.6137184115523465,131.0
I-PROD,0.6206896551724138,0.5714285714285714,0.5950413223140496,126.0
micro avg,0.8796838407494145,0.8664936562860438,0.8730389308541544,3468.0
macro avg,0.7815797681635894,0.7269935067641256,0.7407582266394229,3468.0
weighted avg,0.8828984562966137,0.8664936562860438,0.872390811073974,3468.0

NorNE_ne_CR_all_labels_nbailab-base-ner-scandi_seed_37
,precision,recall,f1-score,support
B-DRV,0.7111111111111111,0.8205128205128205,0.7619047619047619,78.0
I-DRV,0.3333333333333333,0.38461538461538464,0.3571428571428571,13.0
B-EVT,0.4117647058823529,0.5,0.45161290322580644,14.0
I-EVT,0.42857142857142855,0.75,0.5454545454545454,4.0
B-GPE_LOC,0.8771929824561403,0.9345794392523364,0.9049773755656108,428.0
I-GPE_LOC,0.8705882352941177,0.9367088607594937,0.9024390243902438,79.0
B-GPE_ORG,0.7222222222222222,0.639344262295082,0.6782608695652174,61.0
I-GPE_ORG,0.6363636363636364,1.0,0.7777777777777778,7.0
B-LOC,0.7277486910994765,0.7513513513513513,0.7393617021276596,185.0
I-LOC,0.8648648648648649,0.7529411764705882,0.8050314465408804,85.0
B-MISC,0.0,0.0,0.0,14.0
I-MISC,0.0,0.0,0.0,3.0
B-ORG,0.8681541582150102,0.8214971209213052,0.844181459566075,521.0
I-ORG,0.9251336898395722,0.6975806451612904,0.7954022988505747,248.0
B-PER,0.9471544715447154,0.9698231009365245,0.9583547557840617,961.0
I-PER,0.947069943289225,0.9823529411764705,0.9643888354186718,510.0
B-PROD,0.5853658536585366,0.549618320610687,0.5669291338582677,131.0
I-PROD,0.6,0.38095238095238093,0.4660194174757281,126.0
micro avg,0.8704358068315665,0.8523644752018454,0.8613053613053612,3468.0
macro avg,0.6364799626525413,0.6595487669453175,0.6399577313693745,3468.0
weighted avg,0.8637245379540365,0.8523644752018454,0.8552792596491009,3468.0

NorNE_ne_CR_all_labels_nbailab-base-ner-scandi_seed_42
,precision,recall,f1-score,support
B-DRV,0.7682926829268293,0.8076923076923077,0.7875,78.0
I-DRV,0.45454545454545453,0.38461538461538464,0.41666666666666663,13.0
B-EVT,0.6,0.6428571428571429,0.6206896551724138,14.0
I-EVT,0.5,0.5,0.5,4.0
B-GPE_LOC,0.9022727272727272,0.927570093457944,0.9147465437788018,428.0
I-GPE_LOC,0.8888888888888888,0.9113924050632911,0.8999999999999999,79.0
B-GPE_ORG,0.7407407407407407,0.6557377049180327,0.6956521739130433,61.0
I-GPE_ORG,0.5833333333333334,1.0,0.7368421052631579,7.0
B-LOC,0.7580645161290323,0.7621621621621621,0.7601078167115903,185.0
I-LOC,0.90625,0.6823529411764706,0.7785234899328859,85.0
B-MISC,1.0,0.2857142857142857,0.4444444444444445,14.0
I-MISC,0.0,0.0,0.0,3.0
B-ORG,0.8716904276985743,0.8214971209213052,0.8458498023715415,521.0
I-ORG,0.8926829268292683,0.7379032258064516,0.8079470198675496,248.0
B-PER,0.9491353001017294,0.9708636836628513,0.9598765432098767,961.0
I-PER,0.9510357815442562,0.9901960784313726,0.9702209414024976,510.0
B-PROD,0.5454545454545454,0.5954198473282443,0.5693430656934307,131.0
I-PROD,0.6039603960396039,0.48412698412698413,0.5374449339207049,126.0
