,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
B-DRV,0.79,0.01,0.01,0,0,0,0,0,0.04,0,0,0,0,0,0.01,0,0.00,0,0.13
I-DRV,0.05,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54
B-EVT,0.04,0,0.69,0,0.06,0,0,0,0.03,0,0,0,0.04,0,0,0,0.04,0,0.10
I-EVT,0,0,0,0.4,0.2,0,0,0,0,0.05,0,0,0,0,0,0,0,0.10,0.25
B-GPE_LOC,0,0.00,0,0,0.93,0.00,0.02,0,0.03,0,0,0,0.00,0.00,0,0,0.00,0.00,0.00
I-GPE_LOC,0,0,0,0,0,0.93,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0.03
B-GPE_ORG,0.01,0,0,0,0.34,0,0.64,0,0,0,0,0,0.01,0,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
B-LOC,0.00,0,0,0,0.06,0,0,0,0.79,0,0,0,0.03,0.00,0.04,0,0,0,0.08
I-LOC,0,0,0,0,0,0.00,0,0,0.02,0.74,0,0,0,0.03,0.01,0.14,0,0,0.04
B-MISC,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.13,0,0.10,0,0.37
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.80
B-ORG,0.00,0,0.00,0,0.00,0,0.00,0,0.02,0,0,0,0.82,0.00,0.03,0,0.03,0,0.08
I-ORG,0,0,0,0.00,0.02,0,0,0,0.00,0.03,0,0,0.02,0.72,0.00,0.02,0,0.03,0.15
B-PER,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0.01,0,0.97,0.00,0.00,0,0.01
I-PER,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0.01,0.98,0,0.00,0.00
B-PROD,0.01,0,0,0,0.00,0,0.01,0,0.02,0,0,0,0.08,0,0.06,0,0.61,0.00,0.21
I-PROD,0,0,0,0,0.02,0,0,0,0.04,0,0,0,0,0.03,0.01,0.03,0.02,0.48,0.37
O,0.09,0.03,0.04,0.02,0.03,0.04,0.01,0.01,0.04,0.01,0,0,0.19,0.04,0.03,0.01,0.24,0.16,0
