
NorNE_ne_CF_MATRIX_O_norbert_seed_101
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
B-DRV,57,1,0,0,1,0,0,0,3,0,0,0,2,0,1,0,2,0,11
I-DRV,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
B-EVT,6,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2
I-EVT,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
B-GPE_LOC,0,0,2,0,395,2,12,0,9,0,0,0,4,0,0,0,1,1,2
I-GPE_LOC,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,2
B-GPE_ORG,1,0,0,0,15,0,44,0,0,0,0,0,1,0,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,28,0,0,0,118,0,0,0,12,0,7,0,0,0,20
I-LOC,0,0,0,0,1,3,0,0,2,55,0,0,0,10,1,6,0,0,7
B-MISC,0,0,2,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,4
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
B-ORG,3,0,0,0,3,0,4,0,13,0,0,0,421,2,14,0,11,0,50
I-ORG,0,0,0,1,4,1,0,0,1,5,0,0,3,178,2,6,1,5,41
B-PER,1,0,0,0,4,0,4,0,3,0,0,0,13,0,892,3,3,0,38
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,496,0,0,7
B-PROD,2,0,0,0,1,0,0,0,8,0,0,0,15,0,11,0,61,0,33
I-PROD,0,0,0,0,1,0,0,0,6,0,0,0,0,7,2,7,3,46,54
O,20,4,2,2,5,8,1,1,12,4,1,1,55,23,9,3,26,12,51082

NorNE_ne_CF_MATRIX_O_norbert_seed_1024
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
B-DRV,53,1,0,0,3,0,0,0,4,0,0,0,4,0,1,0,2,0,10
I-DRV,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6
B-EVT,6,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2
I-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
B-GPE_LOC,0,0,0,0,384,0,21,0,12,0,0,0,5,1,2,0,1,1,1
I-GPE_LOC,0,0,0,0,0,76,0,0,0,0,0,0,0,1,0,0,0,0,2
B-GPE_ORG,0,0,0,0,14,0,44,0,0,0,0,0,2,0,1,0,0,0,0
I-GPE_ORG,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0
B-LOC,0,0,1,0,40,0,0,0,103,0,0,0,19,1,9,0,1,1,10
I-LOC,0,0,0,0,1,2,0,0,2,38,0,0,0,29,1,7,0,1,4
B-MISC,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,4,0,5
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
B-ORG,3,0,0,0,6,0,6,0,10,0,0,0,441,3,15,0,5,0,32
I-ORG,0,0,0,0,6,1,0,0,2,2,0,0,4,190,1,5,0,9,28
B-PER,2,0,0,0,1,0,2,0,3,0,0,0,11,0,913,4,5,0,20
I-PER,0,0,0,0,0,0,0,0,0,1,0,0,0,3,12,493,0,1,0
B-PROD,4,0,0,0,0,0,1,0,8,0,0,0,21,1,12,0,56,0,28
I-PROD,0,0,0,0,4,0,0,0,4,0,0,0,1,8,2,5,0,53,49
O,17,2,1,0,13,6,3,0,18,3,0,0,99,43,24,2,39,23,50978

NorNE_ne_CF_MATRIX_O_norbert_seed_37
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
B-DRV,55,2,0,0,1,0,0,0,3,0,0,0,1,0,1,0,3,0,12
I-DRV,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
B-EVT,6,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3
I-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
B-GPE_LOC,0,1,2,0,388,0,15,0,13,1,0,0,3,0,1,0,2,0,2
I-GPE_LOC,0,0,0,0,0,74,0,1,0,2,0,0,0,0,0,0,0,0,2
B-GPE_ORG,2,0,0,0,14,0,42,0,0,0,0,0,2,0,1,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,1,0,24,0,0,0,123,0,0,0,12,0,4,0,2,0,19
I-LOC,0,0,0,0,1,0,0,0,2,57,0,0,0,11,1,3,0,0,10
B-MISC,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,2,0,3
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
B-ORG,3,0,0,0,3,0,2,0,12,0,0,0,423,1,14,0,20,0,43
I-ORG,1,0,0,0,5,0,0,0,0,4,0,0,3,167,2,6,1,24,35
B-PER,2,0,0,0,2,0,4,0,3,0,0,0,8,0,905,2,8,0,27
I-PER,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,492,0,3,2
B-PROD,1,0,0,0,1,0,0,0,3,0,0,0,9,0,10,0,78,0,29
I-PROD,0,0,0,0,1,0,0,0,6,0,0,0,0,4,1,4,6,52,52
O,20,4,6,1,6,7,1,1,8,3,1,0,54,13,14,1,75,27,51029

NorNE_ne_CF_MATRIX_O_norbert_seed_42
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
B-DRV,57,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,15
I-DRV,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
B-EVT,6,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3
I-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
B-GPE_LOC,0,1,0,0,386,0,17,0,16,0,0,0,3,0,2,0,0,0,3
I-GPE_LOC,0,0,0,0,0,75,0,0,0,2,0,0,0,0,0,0,0,0,2
B-GPE_ORG,1,0,0,0,17,0,41,0,0,0,0,0,1,0,1,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,20,0,0,0,125,0,0,0,11,0,10,0,1,0,18
I-LOC,0,0,0,0,0,0,0,0,3,42,0,0,0,13,1,10,0,0,16
B-MISC,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
B-ORG,2,0,0,0,2,0,6,0,11,0,0,0,414,1,17,0,10,0,58
I-ORG,0,2,0,0,6,0,0,0,1,6,0,0,7,169,0,7,0,10,40
B-PER,1,0,1,0,0,0,2,0,1,0,0,0,6,0,908,1,3,0,38
I-PER,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,500,0,0,1
B-PROD,2,0,0,0,1,0,0,0,5,0,0,0,17,0,11,0,56,0,39
I-PROD,0,1,0,0,1,0,0,0,6,0,0,0,0,6,2,7,3,46,54
O,17,8,2,1,6,7,1,2,10,0,0,0,49,10,14,2,24,15,51103

NorNE_ne_CF_MATRIX_O_norbert_seed_8
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
B-DRV,57,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,1,0,14
I-DRV,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
B-EVT,6,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1
I-EVT,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
B-GPE_LOC,0,1,1,0,387,0,18,0,8,0,0,0,5,3,2,0,0,0,3
I-GPE_LOC,0,0,0,0,0,73,0,2,0,2,0,0,0,0,0,0,0,0,2
B-GPE_ORG,1,0,1,0,16,0,38,0,0,0,0,0,4,0,1,0,0,0,0
I-GPE_ORG,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,22,0,0,0,121,0,0,0,14,0,10,0,1,0,17
I-LOC,0,0,0,0,1,2,0,0,2,50,0,0,0,11,1,8,0,0,10
B-MISC,0,0,0,0,0,0,0,0,0,0,8,0,1,0,2,0,2,0,1
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
B-ORG,2,0,0,0,1,0,3,0,10,0,0,0,428,1,16,0,14,0,46
I-ORG,0,0,0,0,3,0,0,0,1,4,0,0,5,179,2,9,0,10,35
B-PER,2,0,0,0,0,0,0,0,1,0,0,0,5,0,922,1,3,0,27
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,497,0,1,3
B-PROD,2,0,0,0,1,0,0,0,7,0,0,0,10,0,8,0,68,0,35
I-PROD,0,0,0,0,1,0,0,0,6,0,0,0,0,8,0,4,3,45,59
O,10,4,3,6,7,10,0,0,11,3,2,0,50,15,9,2,41,13,51085
