
NorNE_ne_CR_IOB2_norbert_seed_101
,precision,recall,f1-score,support
DRV,0.6333333333333333,0.7307692307692307,0.6785714285714285,78.0
EVT,0.3333333333333333,0.21428571428571427,0.2608695652173913,14.0
GPE_LOC,0.8624454148471615,0.9228971962616822,0.891647855530474,428.0
GPE_ORG,0.676923076923077,0.7213114754098361,0.6984126984126984,61.0
LOC,0.6666666666666666,0.6378378378378379,0.6519337016574586,185.0
MISC,0.7142857142857143,0.35714285714285715,0.4761904761904762,14.0
ORG,0.7817836812144212,0.7907869481765835,0.7862595419847327,521.0
PER,0.9396825396825397,0.9240374609781478,0.931794333683106,961.0
PROD,0.5229357798165137,0.4351145038167939,0.47500000000000003,131.0
micro avg,0.8290741516547968,0.8269954032595069,0.8280334728033473,2393.0
macro avg,0.6812655044558623,0.6371314694087427,0.6500755112497516,2393.0
weighted avg,0.8260207902007898,0.8269954032595069,0.8254927620679645,2393.0

NorNE_ne_CR_IOB2_norbert_seed_1024
,precision,recall,f1-score,support
DRV,0.5977011494252874,0.6666666666666666,0.6303030303030304,78.0
EVT,0.3333333333333333,0.07142857142857142,0.11764705882352941,14.0
GPE_LOC,0.8135593220338984,0.897196261682243,0.8533333333333333,428.0
GPE_ORG,0.5064935064935064,0.639344262295082,0.5652173913043477,61.0
LOC,0.5798816568047337,0.5297297297297298,0.5536723163841808,185.0
MISC,0.0,0.0,0.0,14.0
ORG,0.7037643207855974,0.8253358925143954,0.7597173144876325,521.0
PER,0.9116465863453815,0.9448491155046826,0.9279509453244763,961.0
PROD,0.4690265486725664,0.40458015267175573,0.43442622950819676,131.0
micro avg,0.7772943037974683,0.8211450062682825,0.7986181670392196,2393.0
macro avg,0.5461562693215893,0.5532367391659029,0.5380297354965253,2393.0
weighted avg,0.7696870100462353,0.8211450062682825,0.7929078214061527,2393.0

NorNE_ne_CR_IOB2_norbert_seed_37
,precision,recall,f1-score,support
DRV,0.5934065934065934,0.6923076923076923,0.6390532544378699,78.0
EVT,0.18181818181818182,0.14285714285714285,0.16,14.0
GPE_LOC,0.8699551569506726,0.9065420560747663,0.8878718535469107,428.0
GPE_ORG,0.65625,0.6885245901639344,0.672,61.0
LOC,0.6781609195402298,0.6378378378378379,0.6573816155988857,185.0
MISC,0.75,0.42857142857142855,0.5454545454545454,14.0
ORG,0.8019417475728156,0.7927063339731286,0.7972972972972974,521.0
PER,0.9307851239669421,0.9375650364203955,0.9341627786417833,961.0
PROD,0.375,0.5725190839694656,0.45317220543806647,131.0
micro avg,0.8070246265643924,0.8353531132469704,0.8209445585215607,2393.0
macro avg,0.6485908581394928,0.6443812446861991,0.6384881722683732,2393.0
weighted avg,0.8184639158958075,0.8353531132469704,0.8252516300733062,2393.0

NorNE_ne_CR_IOB2_norbert_seed_42
,precision,recall,f1-score,support
DRV,0.6627906976744186,0.7307692307692307,0.6951219512195121,78.0
EVT,0.2857142857142857,0.14285714285714285,0.19047619047619047,14.0
GPE_LOC,0.8772727272727273,0.9018691588785047,0.8894009216589862,428.0
GPE_ORG,0.6119402985074627,0.6721311475409836,0.640625,61.0
LOC,0.6758241758241759,0.6648648648648648,0.670299727520436,185.0
MISC,0.0,0.0,0.0,14.0
ORG,0.7893700787401575,0.7696737044145874,0.7793974732750243,521.0
PER,0.9263050153531218,0.9417273673257024,0.933952528379773,961.0
PROD,0.5098039215686274,0.3969465648854962,0.4463519313304721,131.0
micro avg,0.830308146897425,0.8219807772670288,0.8261234775304493,2393.0
macro avg,0.5932245778505529,0.5800932423929459,0.5828473026511549,2393.0
weighted avg,0.8197874955834609,0.8219807772670288,0.8201838337971821,2393.0

NorNE_ne_CR_IOB2_norbert_seed_8
,precision,recall,f1-score,support
DRV,0.7,0.717948717948718,0.708860759493671,78.0
EVT,0.4444444444444444,0.2857142857142857,0.34782608695652173,14.0
GPE_LOC,0.8795454545454545,0.9042056074766355,0.8917050691244239,428.0
GPE_ORG,0.6440677966101694,0.6229508196721312,0.6333333333333334,61.0
LOC,0.6878612716763006,0.6432432432432432,0.664804469273743,185.0
MISC,0.7,0.5,0.5833333333333334,14.0
ORG,0.7988505747126436,0.800383877159309,0.7996164908916586,521.0
PER,0.9328585961342828,0.9542143600416233,0.9434156378600823,961.0
PROD,0.4626865671641791,0.4732824427480916,0.46792452830188686,131.0
micro avg,0.8327800829875519,0.8386961972419557,0.8357276702061212,2393.0
macro avg,0.6944794116986084,0.6557714837782265,0.6712021898409616,2393.0
weighted avg,0.8302968442247611,0.8386961972419557,0.8341496171351583,2393.0
