
NorNE_ne_CR_all_labels_norbert_seed_37
,precision,recall,f1-score,support
B-DRV,0.6043956043956044,0.7051282051282052,0.650887573964497,78.0
I-DRV,0.5333333333333333,0.6153846153846154,0.5714285714285715,13.0
B-EVT,0.18181818181818182,0.14285714285714285,0.16,14.0
I-EVT,0.0,0.0,0.0,4.0
B-GPE_LOC,0.8699551569506726,0.9065420560747663,0.8878718535469107,428.0
I-GPE_LOC,0.9135802469135802,0.9367088607594937,0.9249999999999999,79.0
B-GPE_ORG,0.65625,0.6885245901639344,0.672,61.0
I-GPE_ORG,0.7777777777777778,1.0,0.8750000000000001,7.0
B-LOC,0.7068965517241379,0.6648648648648648,0.6852367688022285,185.0
I-LOC,0.8382352941176471,0.6705882352941176,0.7450980392156863,85.0
B-MISC,0.875,0.5,0.6363636363636364,14.0
I-MISC,0.0,0.0,0.0,3.0
B-ORG,0.8213592233009709,0.8119001919385797,0.8166023166023165,521.0
I-ORG,0.8520408163265306,0.6733870967741935,0.7522522522522522,248.0
B-PER,0.9349173553719008,0.9417273673257024,0.9383100051840331,961.0
I-PER,0.968503937007874,0.9647058823529412,0.9666011787819254,510.0
B-PROD,0.39,0.5954198473282443,0.47129909365558914,131.0
I-PROD,0.48598130841121495,0.4126984126984127,0.44635193133047213,126.0
micro avg,0.8318890814558059,0.8304498269896193,0.8311688311688311,3468.0
macro avg,0.6338913770805238,0.623913187163623,0.622239067840451,3468.0
weighted avg,0.8376116947090907,0.8304498269896193,0.8316959597094121,3468.0

NorNE_ne_CR_all_labels_norbert_seed_8
,precision,recall,f1-score,support
B-DRV,0.7125,0.7307692307692307,0.7215189873417722,78.0
I-DRV,0.5384615384615384,0.5384615384615384,0.5384615384615384,13.0
B-EVT,0.4444444444444444,0.2857142857142857,0.34782608695652173,14.0
I-EVT,0.3333333333333333,0.75,0.46153846153846156,4.0
B-GPE_LOC,0.8795454545454545,0.9042056074766355,0.8917050691244239,428.0
I-GPE_LOC,0.8390804597701149,0.9240506329113924,0.8795180722891567,79.0
B-GPE_ORG,0.6440677966101694,0.6229508196721312,0.6333333333333334,61.0
I-GPE_ORG,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0
B-LOC,0.6994219653179191,0.654054054054054,0.6759776536312849,185.0
I-LOC,0.847457627118644,0.5882352941176471,0.6944444444444444,85.0
B-MISC,0.8,0.5714285714285714,0.6666666666666666,14.0
I-MISC,0.0,0.0,0.0,3.0
B-ORG,0.8199233716475096,0.8214971209213052,0.8207094918504315,521.0
I-ORG,0.8248847926267281,0.7217741935483871,0.7698924731182797,248.0
B-PER,0.9379450661241099,0.959417273673257,0.9485596707818931,961.0
I-PER,0.9539347408829175,0.9745098039215686,0.9641125121241513,510.0
B-PROD,0.5074626865671642,0.5190839694656488,0.5132075471698112,131.0
I-PROD,0.6521739130434783,0.35714285714285715,0.4615384615384615,126.0
micro avg,0.8525943396226415,0.8339100346020761,0.8431486880466472,3468.0
macro avg,0.6749401613766245,0.6465322759757903,0.6501831213697971,3468.0
weighted avg,0.8471895676136348,0.8339100346020761,0.8377584907623264,3468.0

NorNE_ne_CR_all_labels_norbert_seed_101
,precision,recall,f1-score,support
B-DRV,0.6333333333333333,0.7307692307692307,0.6785714285714285,78.0
I-DRV,0.5,0.38461538461538464,0.4347826086956522,13.0
B-EVT,0.3333333333333333,0.21428571428571427,0.2608695652173913,14.0
I-EVT,0.25,0.25,0.25,4.0
B-GPE_LOC,0.8624454148471615,0.9228971962616822,0.891647855530474,428.0
I-GPE_LOC,0.8461538461538461,0.9746835443037974,0.9058823529411764,79.0
B-GPE_ORG,0.676923076923077,0.7213114754098361,0.6984126984126984,61.0
I-GPE_ORG,0.875,1.0,0.9333333333333333,7.0
B-LOC,0.6666666666666666,0.6378378378378379,0.6519337016574586,185.0
I-LOC,0.8461538461538461,0.6470588235294118,0.7333333333333334,85.0
B-MISC,0.8571428571428571,0.42857142857142855,0.5714285714285714,14.0
I-MISC,0.0,0.0,0.0,3.0
