
NorNE_ne_CR_IOB2_norbert2_seed_101
,precision,recall,f1-score,support
DRV,0.6629213483146067,0.7564102564102564,0.7065868263473053,78.0
EVT,0.625,0.35714285714285715,0.45454545454545453,14.0
GPE_LOC,0.8763796909492274,0.927570093457944,0.9012485811577752,428.0
GPE_ORG,0.7954545454545454,0.5737704918032787,0.6666666666666666,61.0
LOC,0.7333333333333333,0.7135135135135136,0.7232876712328767,185.0
MISC,0.8181818181818182,0.6428571428571429,0.7200000000000001,14.0
ORG,0.7763401109057301,0.8061420345489443,0.7909604519774012,521.0
PER,0.9265175718849841,0.9053069719042663,0.9157894736842106,961.0
PROD,0.5403225806451613,0.5114503816793893,0.5254901960784314,131.0
micro avg,0.834658853076601,0.8332636857501045,0.8339606859054789,2393.0
macro avg,0.7504945555188229,0.688240415924177,0.7116194801877912,2393.0
weighted avg,0.8344467842526615,0.8332636857501045,0.832749679388228,2393.0

NorNE_ne_CR_IOB2_norbert2_seed_1024
,precision,recall,f1-score,support
DRV,0.686046511627907,0.7564102564102564,0.7195121951219512,78.0
EVT,0.4375,0.5,0.4666666666666667,14.0
GPE_LOC,0.9055690072639225,0.8738317757009346,0.8894173602853745,428.0
GPE_ORG,0.5949367088607594,0.7704918032786885,0.6714285714285714,61.0
LOC,0.7292817679558011,0.7135135135135136,0.7213114754098361,185.0
MISC,0.7142857142857143,0.7142857142857143,0.7142857142857143,14.0
ORG,0.7970204841713222,0.8214971209213052,0.8090737240075616,521.0
PER,0.8973346495557749,0.9458896982310093,0.9209726443768996,961.0
PROD,0.5785123966942148,0.5343511450381679,0.5555555555555555,131.0
micro avg,0.8276422764227642,0.8508148767237776,0.8390686173500926,2393.0
macro avg,0.7044985822683797,0.7366967808199544,0.7186915452375701,2393.0
weighted avg,0.8281654090144446,0.8508148767237776,0.8387319597972697,2393.0

NorNE_ne_CR_IOB2_norbert2_seed_37
,precision,recall,f1-score,support
DRV,0.6704545454545454,0.7564102564102564,0.7108433734939757,78.0
EVT,0.42857142857142855,0.42857142857142855,0.42857142857142855,14.0
GPE_LOC,0.8804597701149425,0.8948598130841121,0.8876013904982618,428.0
GPE_ORG,0.6923076923076923,0.7377049180327869,0.7142857142857143,61.0
LOC,0.7055837563451777,0.7513513513513513,0.7277486910994764,185.0
MISC,0.6923076923076923,0.6428571428571429,0.6666666666666666,14.0
ORG,0.7903525046382189,0.817658349328215,0.8037735849056604,521.0
PER,0.9392935982339956,0.8855359001040582,0.9116229244777719,961.0
PROD,0.47770700636942676,0.5725190839694656,0.5208333333333334,131.0
micro avg,0.8256006628003314,0.8328458002507313,0.8292074058664448,2393.0
macro avg,0.6974486660381244,0.7208298048565353,0.7079941230369209,2393.0
weighted avg,0.8335155573152367,0.8328458002507313,0.8324037955911433,2393.0

NorNE_ne_CR_IOB2_norbert2_seed_42
,precision,recall,f1-score,support
DRV,0.6951219512195121,0.7307692307692307,0.7125,78.0
EVT,0.6666666666666666,0.42857142857142855,0.5217391304347826,14.0
GPE_LOC,0.8831460674157303,0.9182242990654206,0.9003436426116839,428.0
GPE_ORG,0.7636363636363637,0.6885245901639344,0.7241379310344828,61.0
LOC,0.700507614213198,0.745945945945946,0.7225130890052356,185.0
MISC,0.75,0.6428571428571429,0.6923076923076924,14.0
ORG,0.8350951374207188,0.7581573896353166,0.7947686116700201,521.0
PER,0.9222903885480572,0.9386056191467221,0.9303764827230532,961.0
PROD,0.4927536231884058,0.5190839694656488,0.5055762081784387,131.0
micro avg,0.8413562159899539,0.8399498537400752,0.8406524466750315,2393.0
macro avg,0.7454686458120725,0.7078599572911989,0.7226958653294876,2393.0
weighted avg,0.841693039624825,0.8399498537400752,0.8400137065037934,2393.0

NorNE_ne_CR_IOB2_norbert2_seed_8
,precision,recall,f1-score,support
DRV,0.648936170212766,0.782051282051282,0.7093023255813954,78.0
EVT,0.4166666666666667,0.35714285714285715,0.3846153846153846,14.0
GPE_LOC,0.8792710706150342,0.9018691588785047,0.8904267589388696,428.0
GPE_ORG,0.7166666666666667,0.7049180327868853,0.7107438016528925,61.0
LOC,0.7135416666666666,0.7405405405405405,0.726790450928382,185.0
MISC,0.75,0.6428571428571429,0.6923076923076924,14.0
ORG,0.8183673469387756,0.7696737044145874,0.7932739861523245,521.0
PER,0.8968253968253969,0.9406867845993756,0.9182326053834434,961.0
PROD,0.4866666666666667,0.5572519083969466,0.5195729537366549,131.0
micro avg,0.8217338217338217,0.8437108232344338,0.8325773195876288,2393.0
macro avg,0.7029935168065155,0.7107768235186803,0.7050295510330044,2393.0
weighted avg,0.8236406917136672,0.8437108232344338,0.8328867948679638,2393.0
