
NorNE_ne_CR_all_labels_norbert2_seed_101
,precision,recall,f1-score,support
B-DRV,0.7126436781609196,0.7948717948717948,0.7515151515151515,78.0
I-DRV,0.38095238095238093,0.6153846153846154,0.47058823529411764,13.0
B-EVT,0.5,0.5714285714285714,0.5333333333333333,14.0
I-EVT,0.1111111111111111,0.25,0.15384615384615383,4.0
B-GPE_LOC,0.891647855530474,0.9228971962616822,0.9070034443168771,428.0
I-GPE_LOC,0.8735632183908046,0.9620253164556962,0.9156626506024097,79.0
B-GPE_ORG,0.803921568627451,0.6721311475409836,0.7321428571428572,61.0
I-GPE_ORG,0.875,1.0,0.9333333333333333,7.0
B-LOC,0.715,0.772972972972973,0.7428571428571429,185.0
I-LOC,0.8222222222222222,0.8705882352941177,0.8457142857142856,85.0
B-MISC,0.8,0.8571428571428571,0.8275862068965518,14.0
I-MISC,0.0,0.0,0.0,3.0
B-ORG,0.7971274685816876,0.8522072936660269,0.8237476808905381,521.0
I-ORG,0.9010416666666666,0.6975806451612904,0.7863636363636364,248.0
B-PER,0.9309978768577495,0.9125910509885536,0.9217025748817657,961.0
I-PER,0.9343339587242027,0.9764705882352941,0.9549376797698945,510.0
B-PROD,0.6481481481481481,0.5343511450381679,0.5857740585774058,131.0
I-PROD,0.6395348837209303,0.4365079365079365,0.5188679245283019,126.0
micro avg,0.8543238537434706,0.8489042675893888,0.8516054382412496,3468.0
macro avg,0.6854025576497084,0.7055084092750312,0.6891653527702086,3468.0
weighted avg,0.8542669374621494,0.8489042675893888,0.8490559742861987,3468.0

NorNE_ne_CR_all_labels_norbert2_seed_1024
,precision,recall,f1-score,support
B-DRV,0.7380952380952381,0.7948717948717948,0.7654320987654322,78.0
I-DRV,0.46153846153846156,0.46153846153846156,0.46153846153846156,13.0
B-EVT,0.6666666666666666,0.5714285714285714,0.6153846153846153,14.0
I-EVT,0.0,0.0,0.0,4.0
B-GPE_LOC,0.8924485125858124,0.9112149532710281,0.9017341040462428,428.0
I-GPE_LOC,0.9135802469135802,0.9367088607594937,0.9249999999999999,79.0
B-GPE_ORG,0.7543859649122807,0.7049180327868853,0.7288135593220338,61.0
I-GPE_ORG,0.7,1.0,0.8235294117647058,7.0
B-LOC,0.7473684210526316,0.7675675675675676,0.7573333333333334,185.0
